,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
0,13.5,14.25,18.75,15.25,15.75,19.25,17.5,9.75,14.0,7.75
1,13.5,14.0,17.0,15.75,14.5,18.0,17.75,8.25,11.75,5.75
2,11.25,11.75,16.25,13.75,14.0,16.5,15.5,6.5,11.0,4.5
3,9.25,9.25,13.0,11.0,9.5,14.25,13.25,3.5,7.25,1.25
4,14.75,14.25,18.5,16.25,16.5,19.5,19.0,10.0,13.25,7.25
5,14.0,14.25,18.75,17.25,15.25,19.25,19.25,8.5,12.75,7.0
6,13.25,14.25,18.5,16.5,17.75,19.0,18.25,8.5,13.0,7.0
7,13.75,15.0,18.75,16.5,15.25,19.5,18.75,8.75,12.5,7.25
8,13.25,14.0,17.75,14.75,13.25,18.0,17.0,8.5,11.75,6.5
9,8.5,9.5,14.5,11.25,10.0,14.5,13.25,4.25,7.75,2.25
00,13.25,11.5,17.5,14.0,16.0,19.5,16.75,7.25,13.75,4.5
01,13.0,12.5,18.75,14.25,15.75,20.5,17.75,7.5,14.25,5.0
02,12.5,12.0,17.5,13.75,16.25,20.25,17.5,6.5,13.5,4.0
03,14.5,13.75,19.5,15.25,17.75,21.25,19.5,7.75,15.0,5.0
04,16.25,14.0,20.25,16.25,19.0,22.25,20.5,8.5,16.25,6.5
05,13.5,12.25,18.25,14.25,16.5,20.0,18.0,7.0,14.25,4.0
06,13.0,12.0,18.75,14.25,16.25,20.0,18.25,7.0,14.0,4.0
07,13.25,13.0,19.25,14.25,17.25,20.5,19.25,8.0,13.75,4.0
08,12.75,12.5,19.5,14.75,17.0,21.25,18.75,8.0,13.5,4.5
09,12.0,11.5,19.0,13.75,16.25,20.5,18.25,7.0,14.25,4.0
10,15.25,16.0,19.5,18.25,13.5,20.5,17.0,9.75,12.75,7.0
11,16.0,16.5,18.75,18.25,16.75,20.5,19.75,10.25,13.75,8.75
12,12.5,13.75,15.75,15.0,14.0,17.5,17.5,7.75,10.75,5.5
13,15.5,16.0,18.0,17.0,16.0,19.0,18.25,10.5,12.75,7.75
14,17.0,17.5,19.5,18.75,17.75,21.5,21.5,11.75,15.25,9.0
15,15.5,17.0,18.5,18.25,18.0,21.0,20.5,12.25,14.0,8.5
16,15.0,15.0,18.25,17.75,17.0,19.0,20.5,10.0,13.0,5.25
17,9.25,10.75,11.5,11.25,14.0,14.75,16.0,4.25,9.5,2.25
18,15.5,16.25,17.25,17.25,17.75,20.5,21.25,10.25,15.0,8.0
19,15.5,16.75,18.25,18.25,18.25,20.5,21.0,11.25,14.0,8.0
20,7.25,10.75,12.75,12.0,11.75,15.5,11.75,3.75,9.5,3.0
21,16.75,17.75,20.5,20.0,18.5,21.75,21.5,10.0,15.75,9.25
22,16.5,18.75,21.0,20.5,19.75,22.0,21.75,11.75,16.75,10.5
23,17.25,18.5,21.5,20.5,19.75,22.25,21.0,12.0,17.25,10.75
24,15.25,18.25,21.25,19.0,19.0,22.5,18.75,12.5,17.75,10.5
25,16.5,18.25,21.25,20.5,19.75,22.5,19.75,11.0,16.5,10.5
26,16.0,18.0,22.0,21.5,23.0,23.25,20.25,15.75,19.0,11.0
27,18.25,18.5,21.0,20.25,20.25,23.75,22.25,11.75,16.5,11.75
28,15.25,17.5,21.5,18.5,19.25,22.25,19.25,10.5,16.25,11.0
29,17.25,18.5,20.75,20.25,20.0,23.75,21.5,12.25,16.5,13.0
30,17.5,17.25,18.25,19.0,17.75,22.5,22.25,11.5,14.75,10.25
31,17.0,18.0,19.5,20.5,19.25,24.25,21.0,13.25,17.0,10.5
32,16.25,17.75,19.25,19.75,19.25,24.0,20.0,10.75,16.0,9.5
33,18.5,18.25,18.25,21.25,18.25,23.0,21.75,12.25,16.5,10.5
34,16.0,17.75,20.0,19.5,18.0,24.25,20.0,11.75,15.75,9.75
35,17.5,18.0,20.0,20.75,18.75,23.0,21.25,12.0,16.25,11.0
