,dog,cat,elephant,lion,tiger,dolphin,panda,giraffe,butterfly,squirrel
0,-5.5,-7.5,-6.5,-12.5,-8.5,-4.5,-6.5,-8.5,-11.0,-12.0
1,-5.5,-7.5,-6.5,-12.5,-8.5,-4.5,-6.5,-8.5,-11.0,-12.0
2,-5.5,-7.5,-6.5,-12.5,-8.5,-4.5,-6.5,-8.5,-11.0,-12.0
3,-5.5,-7.5,-6.5,-12.5,-8.5,-4.5,-6.5,-8.5,-11.0,-12.0
4,-5.5,-7.5,-6.5,-12.5,-8.5,-4.5,-6.5,-8.5,-11.0,-12.0
5,-5.5,-7.5,-6.5,-12.5,-8.5,-4.5,-6.5,-8.5,-11.0,-12.0
6,-5.5,-7.5,-6.5,-12.5,-8.5,-4.5,-6.5,-8.5,-11.0,-12.0
7,-5.5,-7.5,-6.5,-12.5,-8.5,-4.5,-6.5,-8.5,-11.0,-12.0
8,-5.5,-7.5,-6.5,-12.5,-8.5,-4.5,-6.5,-8.5,-11.0,-12.0
9,-5.5,-7.5,-6.5,-12.5,-8.5,-4.5,-6.5,-8.5,-11.0,-12.0
00,-5.5,-7.5,-6.5,-12.5,-8.5,-4.5,-6.5,-8.5,-11.0,-12.0
01,-5.5,-7.5,-6.5,-12.5,-8.5,-4.5,-6.5,-8.5,-11.0,-12.0
02,-5.5,-7.5,-6.5,-12.5,-8.5,-4.5,-6.5,-8.5,-11.0,-12.0
03,-5.5,-7.5,-6.5,-12.5,-8.5,-4.5,-6.5,-8.5,-11.0,-12.0
04,-5.5,-7.5,-6.5,-12.5,-8.5,-4.5,-6.5,-8.5,-11.0,-12.0
05,-5.5,-7.5,-6.5,-12.5,-8.5,-4.5,-6.5,-8.5,-11.0,-12.0
06,-5.5,-7.5,-6.5,-12.5,-8.5,-4.5,-6.5,-8.5,-11.0,-12.0
07,-5.5,-7.5,-6.5,-12.5,-8.5,-4.5,-6.5,-8.5,-11.0,-12.0
08,-5.5,-7.5,-6.5,-12.5,-8.5,-4.5,-6.5,-8.5,-11.0,-12.0
09,-5.5,-7.5,-6.5,-12.5,-8.5,-4.5,-6.5,-8.5,-11.0,-12.0
10,-5.5,-7.5,-6.5,-12.5,-8.5,-4.5,-6.5,-8.5,-11.0,-12.0
11,-5.5,-7.5,-6.5,-12.5,-8.5,-4.5,-6.5,-8.5,-11.0,-12.0
12,-5.5,-7.5,-6.5,-12.5,-8.5,-4.5,-6.5,-8.5,-11.0,-12.0
