,dog,cat,elephant,lion,tiger,dolphin,panda,giraffe,butterfly,squirrel
000,-8.0,-5.5,-3.5,2.5,-1.0,-6.0,1.0,-0.5,2.5,-4.5
001,-6.25,-3.25,-2.25,3.25,1.25,-3.25,1.25,2.75,3.25,0.25
002,-7.0,-2.5,-3.5,3.0,1.0,-1.0,2.0,3.0,5.5,0.0
003,-7.0,-2.5,-3.0,4.5,2.0,-3.0,1.5,1.0,3.5,-1.5
004,-5.0,-2.5,0.0,6.0,2.0,-1.5,2.5,4.0,4.5,0.5
005,-7.0,-4.0,-2.0,4.0,2.5,-3.0,2.0,2.5,4.0,-1.0
006,-7.0,-3.5,-2.0,5.0,1.5,-3.5,2.0,3.0,5.0,0.0
007,-11.0,-4.0,-4.5,6.0,2.5,-2.0,-3.5,-3.0,0.0,-0.5
008,-7.5,-2.0,-2.5,4.5,0.0,-3.0,1.0,-0.5,3.0,-2.0
009,-6.5,-1.0,-3.5,3.5,1.5,-1.0,2.0,2.0,3.5,-1.5
010,-6.5,-3.5,-3.0,2.0,1.0,-2.5,0.5,1.5,3.0,-1.0
011,-5.5,-2.0,0.5,4.0,1.0,-3.0,0.5,2.0,4.5,1.5
012,-5.5,-2.5,-2.0,4.0,1.5,-2.0,1.5,3.5,4.5,1.0
013,-6.0,-2.0,-3.5,4.5,1.5,-2.5,1.0,2.5,3.5,-0.5
014,-4.5,-2.0,-0.5,5.0,1.5,-1.0,2.0,5.0,5.0,0.5
015,-6.0,-2.5,-3.0,3.5,2.5,-2.0,1.5,4.0,4.5,0.0
016,-5.5,-2.5,-3.0,4.0,1.0,-2.0,1.5,4.0,5.0,0.5
017,-6.0,-2.0,-4.0,4.0,1.5,-2.5,-0.5,4.5,5.0,-1.0
018,-7.0,-2.5,-2.0,4.0,2.0,-2.5,1.0,3.5,4.0,-1.0
019,-6.5,-3.5,-3.0,3.0,1.5,-1.5,1.5,4.0,3.5,-2.0
020,-8.0,-5.0,-3.0,3.0,1.0,-2.0,1.0,3.5,3.0,-1.5
021,-7.5,-4.5,-3.0,3.5,0.5,-1.5,1.0,3.5,3.5,0.5
022,-6.5,-3.0,-2.5,4.0,1.0,-1.0,2.0,4.0,5.0,1.0
023,-6.0,-2.5,-2.5,4.5,2.0,-1.0,1.5,3.5,4.5,1.0
024,-6.5,-3.5,-2.5,4.5,1.5,-1.5,1.0,4.0,4.0,1.0
025,-6.5,-2.5,-3.5,3.5,1.5,-1.5,1.0,2.5,4.5,1.5
026,-6.0,-3.0,-2.5,4.5,1.0,-1.0,1.0,4.0,5.0,1.0
027,-6.0,-2.0,-3.0,4.5,2.0,-1.5,1.0,4.0,6.0,1.0
028,-6.5,-2.0,-2.0,4.5,1.5,-1.5,1.0,3.0,4.0,0.5
029,-5.5,-2.0,-2.5,3.5,1.5,-1.0,1.0,3.5,4.5,-0.5
030,-7.5,-3.0,-3.0,4.0,1.5,-4.0,0.5,1.5,2.5,-2.0
031,-7.5,-3.0,-3.0,4.5,2.0,-2.5,0.0,2.0,3.5,-1.5
032,-6.5,-2.5,-3.0,4.5,1.5,-3.0,0.5,2.5,3.0,-0.5
