,dog,cat,elephant,lion,tiger,dolphin,panda,giraffe,butterfly,squirrel
0,-18.5,-18.0,-13.5,-13.5,-12.0,-12.0,-7.5,-10.0,-9.0,-17.0
1,-11.5,-8.5,-8.5,-8.0,-8.0,-9.0,-5.5,-5.5,-8.0,-11.0
2,-10.5,-8.5,-9.0,-10.5,-9.0,-6.0,-6.5,-5.5,-7.0,-11.0
3,-12.5,-10.0,-10.5,-10.0,-6.5,-12.0,-7.0,-10.0,-12.5,-14.0
4,-13.0,-10.5,-9.0,-6.5,-9.0,-11.0,-8.0,-6.0,-9.0,-12.0
5,-15.0,-15.0,-13.0,-10.5,-9.0,-13.5,-6.0,-9.0,-10.0,-13.0
6,-14.0,-14.0,-10.0,-8.0,-8.0,-13.0,-7.5,-7.0,-7.0,-14.0
7,-16.0,-14.5,-12.5,-11.0,-11.5,-13.5,-9.0,-10.0,-11.5,-15.5
8,-16.5,-11.0,-13.0,-11.0,-15.0,-15.0,-12.0,-14.5,-13.5,-18.0
9,-13.5,-6.5,-10.5,-7.5,-6.5,-9.0,-7.5,-6.5,-7.5,-13.5
00,-15.0,-13.5,-11.0,-11.5,-10.0,-9.5,-6.0,-7.5,-9.0,-15.0
01,-12.5,-11.5,-9.0,-10.0,-9.0,-8.0,-6.0,-6.0,-8.5,-13.0
02,-12.5,-11.5,-10.0,-9.5,-8.5,-6.0,-7.0,-5.5,-6.0,-12.0
03,-12.5,-11.0,-10.5,-7.5,-6.5,-8.5,-6.5,-7.5,-8.5,-13.5
04,-11.0,-11.0,-7.0,-5.5,-6.5,-7.0,-6.5,-4.0,-7.5,-11.5
05,-12.0,-11.5,-8.0,-8.5,-6.5,-7.5,-5.5,-5.5,-7.5,-12.5
06,-13.0,-12.0,-10.5,-8.0,-7.5,-9.5,-6.5,-6.0,-7.0,-12.0
07,-13.5,-11.0,-11.0,-7.0,-7.5,-8.5,-7.5,-6.0,-7.0,-14.0
08,-14.0,-10.5,-9.5,-7.5,-8.5,-9.5,-6.5,-9.5,-9.5,-15.0
09,-12.0,-9.5,-11.0,-8.0,-7.0,-7.0,-5.5,-6.5,-7.0,-14.0
10,-13.0,-10.5,-10.5,-9.0,-8.0,-12.0,-10.0,-9.0,-10.5,-12.5
11,-12.5,-11.0,-6.0,-9.0,-7.5,-10.0,-7.5,-6.0,-9.0,-12.0
12,-11.5,-12.5,-12.5,-12.5,-9.5,-10.5,-9.0,-9.0,-11.5,-11.5
13,-18.0,-7.5,-19.0,-12.0,-9.5,-17.0,-12.0,-15.0,-16.5,-13.0
14,-12.0,-8.5,-10.5,-9.5,-9.5,-9.0,-6.5,-5.0,-7.0,-12.5
15,-14.0,-10.0,-12.0,-8.5,-7.0,-10.0,-7.0,-5.5,-7.0,-11.0
16,-12.0,-11.5,-12.0,-10.0,-9.0,-8.5,-4.5,-6.0,-7.0,-10.5
17,-13.0,-11.0,-14.5,-9.5,-8.5,-10.5,-9.5,-6.5,-7.0,-12.0
18,-12.0,-9.5,-9.0,-7.5,-6.5,-8.0,-7.0,-5.0,-7.0,-12.5
19,-11.5,-8.5,-11.0,-10.0,-7.0,-6.5,-7.5,-4.5,-9.5,-14.0
20,-12.5,-12.0,-11.0,-7.5,-7.5,-6.0,-6.0,-4.5,-9.0,-11.5
21,-10.0,-10.0,-10.0,-8.0,-8.0,-5.5,-6.5,-5.5,-9.5,-11.5
22,-10.5,-9.5,-9.5,-7.0,-7.5,-4.5,-7.0,-4.5,-7.5,-9.5
23,-9.5,-9.5,-10.5,-7.0,-7.0,-5.5,-8.0,-6.5,-10.0,-8.0
24,-10.0,-10.0,-10.0,-7.0,-6.5,-7.0,-6.0,-5.0,-9.0,-7.5
25,-11.0,-9.5,-10.5,-7.0,-8.0,-6.5,-7.0,-7.5,-8.0,-9.0
26,-11.5,-10.0,-9.0,-7.5,-10.0,-5.0,-7.0,-5.0,-9.0,-9.5
27,-12.5,-7.0,-11.5,-8.0,-7.0,-7.5,-7.0,-6.0,-6.0,-9.0
28,-7.5,-6.5,-8.5,-6.5,-7.0,-5.5,-6.5,-6.5,-7.0,-9.5
29,-11.5,-7.0,-9.5,-8.0,-6.0,-6.0,-7.5,-7.0,-9.5,-11.5
30,-11.5,-11.5,-11.5,-8.5,-5.0,-6.5,-9.0,-7.5,-10.5,-13.0
31,-12.0,-9.0,-10.0,-8.0,-6.0,-6.5,-8.0,-8.0,-10.5,-12.0
32,-11.0,-9.5,-11.0,-8.0,-7.5,-3.5,-7.5,-6.0,-12.0,-9.0
33,-11.5,-9.0,-9.5,-6.0,-7.0,-4.5,-7.0,-5.5,-8.5,-11.0
34,-10.0,-9.5,-7.5,-6.0,-7.5,-5.0,-7.0,-2.5,-8.5,-12.0
35,-11.0,-9.0,-9.0,-6.0,-5.5,-6.5,-7.0,-4.0,-8.0,-11.5
36,-10.0,-9.0,-9.5,-7.5,-7.0,-7.5,-7.5,-4.0,-8.0,-10.0
37,-11.5,-9.5,-10.5,-6.5,-6.0,-7.5,-8.5,-4.0,-8.0,-12.0
38,-10.0,-8.5,-7.5,-5.0,-5.5,-5.5,-6.5,-4.0,-8.0,-11.0
39,-10.0,-8.0,-8.5,-7.0,-6.0,-5.5,-6.5,-4.5,-8.0,-11.5
40,-11.5,-11.0,-8.0,-5.0,-7.0,-6.0,-6.0,-5.5,-10.0,-12.5
41,-13.5,-11.5,-8.0,-6.5,-7.5,-7.5,-7.0,-6.0,-10.5,-11.5
42,-12.0,-11.0,-10.0,-10.5,-9.0,-7.5,-8.5,-5.0,-10.0,-11.5
43,-12.0,-11.5,-9.5,-6.5,-7.5,-8.0,-7.0,-5.5,-10.0,-11.5
44,-9.5,-9.5,-5.5,-3.5,-7.5,-6.5,-5.5,-4.0,-8.0,-10.0
45,-11.5,-9.5,-9.5,-7.0,-6.0,-9.0,-7.5,-5.5,-8.0,-10.5
46,-10.0,-9.5,-7.5,-5.0,-6.0,-6.5,-7.0,-4.5,-8.0,-10.5
47,-12.5,-9.5,-11.0,-6.5,-7.5,-9.5,-9.0,-7.0,-9.0,-11.0
48,-11.0,-9.0,-9.0,-6.0,-5.5,-7.5,-7.0,-6.0,-7.0,-9.0
49,-9.5,-8.5,-8.5,-6.5,-6.5,-8.5,-6.0,-7.5,-8.5,-9.5
50,-9.5,-12.5,-8.5,-5.0,-6.0,-6.5,-6.0,-6.5,-9.0,-11.5
51,-12.0,-12.0,-8.5,-6.0,-6.5,-7.5,-6.0,-6.5,-8.0,-9.0
52,-9.0,-11.0,-6.5,-6.0,-7.5,-7.5,-4.5,-6.0,-7.5,-7.5
53,-12.5,-12.0,-9.5,-5.5,-6.5,-7.5,-6.5,-7.5,-9.5,-10.0
54,-11.5,-11.0,-7.0,-5.5,-5.5,-7.5,-6.5,-4.5,-7.0,-10.0
55,-12.0,-12.0,-8.0,-5.0,-6.5,-7.0,-6.5,-5.0,-8.0,-11.0
56,-9.5,-9.5,-6.0,-4.5,-6.0,-7.5,-5.0,-4.5,-7.0,-9.0
57,-12.0,-11.0,-9.0,-5.5,-6.0,-8.5,-8.0,-5.5,-7.5,-11.0
58,-11.0,-9.5,-6.5,-5.0,-5.5,-7.0,-7.0,-5.5,-8.0,-10.5
59,-12.5,-11.0,-7.5,-7.0,-6.0,-7.0,-7.5,-6.0,-9.5,-12.5
60,-11.0,-12.5,-7.5,-8.0,-5.0,-8.0,-7.0,-5.0,-9.0,-11.0
61,-13.5,-13.5,-8.0,-8.0,-7.0,-7.5,-7.0,-6.5,-10.5,-11.0
62,-11.0,-12.0,-8.0,-6.5,-6.0,-6.0,-6.5,-5.0,-8.0,-9.5
63,-10.0,-10.0,-9.0,-6.5,-6.0,-8.0,-6.0,-6.0,-8.5,-9.5
64,-7.5,-8.5,-6.0,-6.0,-6.0,-6.5,-5.0,-6.5,-8.5,-6.0
65,-11.0,-11.5,-8.0,-6.0,-6.0,-7.5,-6.5,-4.5,-9.0,-12.0
66,-12.0,-12.0,-8.5,-6.0,-7.5,-8.5,-5.5,-5.0,-7.0,-12.0
67,-12.0,-11.5,-9.5,-6.5,-7.5,-9.0,-7.5,-5.0,-8.5,-12.0
68,-10.5,-10.0,-7.5,-5.5,-6.5,-8.0,-6.0,-4.5,-8.0,-12.0
69,-11.5,-12.0,-9.0,-8.0,-8.0,-8.5,-6.0,-4.5,-7.5,-14.0
70,-12.0,-12.5,-8.5,-6.5,-7.5,-9.0,-8.5,-5.5,-9.5,-14.0
71,-14.0,-13.5,-8.0,-6.5,-8.0,-9.5,-8.0,-5.5,-11.0,-13.0
72,-11.0,-11.5,-9.0,-7.5,-6.5,-8.0,-7.5,-4.0,-8.0,-11.0
73,-13.5,-12.0,-9.0,-7.0,-6.5,-9.5,-8.0,-5.0,-10.0,-12.0
74,-12.0,-11.5,-6.5,-6.0,-6.5,-8.0,-7.5,-4.0,-8.0,-12.0
75,-12.5,-12.0,-8.5,-6.5,-6.5,-9.0,-8.0,-5.5,-7.0,-11.0
76,-11.0,-11.0,-8.0,-5.0,-7.0,-8.5,-7.5,-5.0,-8.0,-12.5
77,-12.5,-10.5,-9.0,-6.5,-8.5,-9.0,-8.5,-6.0,-6.5,-11.5
78,-12.5,-10.0,-7.5,-5.5,-6.5,-8.5,-8.0,-5.0,-7.0,-11.5
79,-13.0,-11.5,-8.5,-7.0,-7.5,-8.5,-7.5,-5.5,-9.5,-14.0
80,-13.0,-11.0,-7.5,-7.0,-7.5,-8.5,-6.5,-7.0,-10.0,-13.5
81,-13.0,-10.0,-8.0,-8.5,-8.0,-10.0,-7.0,-8.0,-8.5,-9.5
82,-13.0,-11.0,-6.5,-6.5,-6.0,-7.0,-6.0,-5.5,-8.5,-11.5
83,-12.5,-10.5,-8.0,-5.5,-6.5,-8.5,-6.5,-7.0,-10.0,-12.5
84,-10.5,-10.5,-6.0,-6.0,-6.5,-7.5,-6.0,-5.0,-8.0,-10.0
85,-11.5,-10.0,-6.5,-6.0,-6.0,-7.5,-6.0,-5.0,-8.5,-11.5
86,-11.5,-10.0,-7.0,-6.5,-6.0,-8.0,-5.5,-5.5,-9.0,-12.0
87,-11.5,-10.0,-8.5,-6.0,-6.5,-9.0,-6.5,-4.5,-7.5,-11.0
88,-11.5,-9.0,-6.5,-7.0,-9.0,-7.5,-3.5,-7.5,-8.5,-11.0
89,-11.5,-9.5,-7.5,-7.0,-7.5,-7.5,-6.0,-5.5,-9.5,-12.5
90,-10.5,-11.0,-9.0,-9.0,-6.5,-7.5,-7.0,-4.0,-8.5,-13.5
91,-11.5,-10.5,-8.0,-7.5,-6.5,-7.5,-6.0,-5.5,-10.0,-11.5
92,-10.5,-11.0,-7.5,-7.5,-6.0,-5.5,-5.5,-5.0,-9.5,-11.0
93,-11.0,-9.0,-10.0,-6.5,-5.5,-7.5,-6.5,-6.0,-9.0,-12.0
94,-10.5,-10.5,-7.5,-7.0,-6.0,-6.5,-6.5,-4.0,-8.5,-12.0
95,-12.0,-10.5,-8.5,-7.5,-5.5,-6.5,-6.5,-5.5,-8.0,-13.0
96,-11.5,-10.5,-8.5,-7.5,-6.0,-6.0,-5.5,-5.0,-7.5,-10.5
97,-12.5,-10.0,-10.0,-8.0,-6.5,-6.5,-7.5,-4.5,-8.5,-13.0
98,-11.0,-8.5,-8.0,-7.5,-6.5,-6.0,-6.5,-5.0,-8.0,-12.0
99,-11.5,-8.0,-8.5,-8.0,-7.5,-7.0,-6.0,-5.5,-9.5,-12.0
000,-13.5,-13.0,-10.0,-10.0,-9.5,-10.5,-5.5,-9.0,-8.5,-16.5
001,-11.75,-10.75,-8.75,-9.25,-7.25,-7.75,-5.25,-5.75,-7.75,-11.75
002,-12.5,-10.0,-10.0,-9.5,-7.5,-5.5,-4.5,-5.5,-5.5,-12.0
003,-12.5,-10.0,-9.5,-8.0,-6.5,-7.5,-5.0,-7.5,-7.5,-13.5
004,-10.5,-10.0,-6.5,-6.5,-6.5,-6.0,-4.0,-4.5,-6.5,-11.5
005,-12.5,-11.5,-8.5,-8.5,-6.0,-7.5,-4.5,-6.0,-7.0,-13.0
006,-12.5,-11.0,-8.5,-7.5,-7.0,-8.0,-4.5,-5.5,-6.0,-12.0
007,-16.5,-11.5,-11.0,-6.5,-6.0,-6.5,-10.0,-11.5,-11.0,-12.5
008,-13.0,-9.5,-9.0,-8.0,-8.5,-7.5,-5.5,-9.0,-8.0,-14.0
009,-12.0,-8.5,-10.0,-9.0,-7.0,-5.5,-4.5,-6.5,-7.5,-13.5
010,-12.0,-11.0,-9.5,-10.5,-7.5,-7.0,-6.0,-7.0,-8.0,-13.0
011,-11.0,-9.5,-6.0,-8.5,-7.5,-7.5,-6.0,-6.5,-6.5,-10.5
012,-11.0,-10.0,-8.5,-8.5,-7.0,-6.5,-5.0,-5.0,-6.5,-11.0
013,-11.5,-9.5,-10.0,-8.0,-7.0,-7.0,-5.5,-6.0,-7.5,-12.5
014,-10.0,-9.5,-7.0,-7.5,-7.0,-5.5,-4.5,-3.5,-6.0,-11.5
015,-11.5,-10.0,-9.5,-9.0,-6.0,-6.5,-5.0,-4.5,-6.5,-12.0
016,-11.0,-10.0,-9.5,-8.5,-7.5,-6.5,-5.0,-4.5,-6.0,-11.5
017,-11.5,-9.5,-10.5,-8.5,-7.0,-7.0,-7.0,-4.0,-6.0,-13.0
018,-12.5,-10.0,-8.5,-8.5,-6.5,-7.0,-5.5,-5.0,-7.0,-13.0
019,-12.0,-11.0,-9.5,-9.5,-7.0,-6.0,-5.0,-4.5,-7.5,-14.0
020,-13.5,-12.5,-9.5,-9.5,-7.5,-6.5,-5.5,-5.0,-8.0,-13.5
021,-13.0,-12.0,-9.5,-9.0,-8.0,-6.0,-5.5,-5.0,-7.5,-11.5
022,-12.0,-10.5,-9.0,-8.5,-7.5,-5.5,-4.5,-4.5,-6.0,-11.0
023,-11.5,-10.0,-9.0,-8.0,-6.5,-5.5,-5.0,-5.0,-6.5,-11.0
024,-12.0,-11.0,-9.0,-8.0,-7.0,-6.0,-5.5,-4.5,-7.0,-11.0
025,-12.0,-10.0,-10.0,-9.0,-7.0,-6.0,-5.5,-6.0,-6.5,-10.5
026,-11.5,-10.5,-9.0,-8.0,-7.5,-5.5,-5.5,-4.5,-6.0,-11.0
027,-11.5,-9.5,-9.5,-8.0,-6.5,-6.0,-5.5,-4.5,-5.0,-11.0
028,-12.0,-9.5,-8.5,-8.0,-7.0,-6.0,-5.5,-5.5,-7.0,-11.5
029,-11.0,-9.5,-9.0,-9.0,-7.0,-5.5,-5.5,-5.0,-6.5,-12.5
030,-13.0,-10.5,-9.5,-8.5,-7.0,-8.5,-6.0,-7.0,-8.5,-14.0
031,-13.0,-10.5,-9.5,-8.0,-6.5,-7.0,-6.5,-6.5,-7.5,-13.5
032,-12.0,-10.0,-9.5,-8.0,-7.0,-7.5,-6.0,-6.0,-8.0,-12.5
033,-12.5,-10.0,-9.5,-7.5,-7.0,-7.5,-6.5,-7.0,-7.5,-13.5
034,-11.5,-10.0,-8.5,-7.0,-6.5,-7.0,-6.0,-5.0,-7.5,-12.5
035,-11.5,-9.0,-9.5,-9.0,-7.0,-7.0,-6.5,-7.5,-6.5,-11.5
036,-11.5,-10.5,-9.5,-8.0,-7.5,-7.0,-6.5,-6.5,-6.5,-11.5
037,-11.0,-10.0,-9.5,-7.0,-6.5,-6.0,-6.0,-5.0,-6.0,-12.5
038,-11.5,-9.5,-8.0,-7.0,-6.5,-5.5,-5.5,-5.0,-6.5,-12.5
039,-9.5,-8.5,-8.0,-7.5,-6.0,-4.5,-5.0,-5.0,-7.0,-11.5
040,-11.5,-11.0,-7.0,-6.5,-7.0,-6.0,-6.0,-3.5,-7.5,-12.0
041,-11.0,-11.0,-7.0,-7.0,-7.0,-5.5,-6.0,-4.0,-7.0,-11.0
042,-11.0,-11.0,-8.0,-8.0,-7.5,-5.5,-6.0,-4.5,-6.5,-10.5
043,-10.5,-10.5,-7.5,-6.5,-6.5,-5.5,-5.5,-4.0,-6.5,-11.5
044,-10.5,-10.5,-7.0,-6.0,-7.0,-5.5,-5.5,-4.0,-6.5,-11.0
045,-10.5,-10.5,-7.5,-7.0,-6.0,-6.0,-6.0,-4.5,-6.5,-10.5
046,-10.0,-10.5,-7.5,-7.5,-7.0,-5.5,-5.5,-5.0,-5.5,-10.5
047,-10.0,-9.0,-8.5,-7.5,-6.5,-5.0,-6.0,-4.5,-5.0,-10.0
048,-10.5,-10.0,-7.5,-6.5,-6.0,-6.0,-6.0,-5.5,-7.0,-11.0
049,-10.25,-9.75,-8.75,-7.75,-8.25,-7.25,-5.25,-5.75,-6.25,-10.75
050,-11.0,-11.5,-8.5,-8.0,-6.5,-7.0,-5.0,-5.5,-7.5,-12.5
051,-11.0,-11.0,-8.0,-8.0,-6.0,-6.5,-5.0,-6.0,-7.0,-11.0
052,-11.0,-11.0,-8.5,-8.0,-6.0,-6.0,-4.5,-5.5,-6.5,-10.0
053,-10.5,-10.0,-8.0,-7.5,-6.0,-6.0,-5.0,-6.5,-6.5,-10.5
054,-11.0,-11.5,-7.5,-7.5,-6.0,-6.5,-5.5,-5.0,-7.0,-12.0
055,-11.5,-11.0,-8.0,-8.0,-6.5,-7.0,-5.0,-6.0,-7.0,-11.5
056,-11.5,-11.5,-7.5,-8.0,-7.0,-6.5,-5.0,-6.0,-6.0,-10.5
057,-11.5,-11.0,-8.0,-7.5,-6.0,-6.5,-6.0,-5.0,-5.5,-11.0
058,-11.0,-10.5,-7.0,-7.5,-6.0,-6.0,-5.0,-6.0,-6.5,-11.0
059,-11.0,-10.5,-8.0,-8.5,-6.5,-6.0,-5.0,-6.0,-7.0,-11.5
060,-13.0,-12.5,-8.5,-8.5,-7.5,-8.0,-6.0,-5.0,-6.5,-12.0
061,-12.5,-12.0,-7.5,-8.0,-7.0,-7.0,-5.5,-5.0,-6.0,-11.5
062,-12.5,-12.0,-9.0,-8.0,-7.0,-7.5,-6.0,-5.0,-6.0,-12.0
063,-12.0,-11.0,-9.0,-7.5,-6.5,-7.5,-6.0,-5.5,-6.0,-12.0
064,-11.5,-12.0,-8.0,-8.0,-7.0,-7.0,-6.5,-5.0,-6.5,-11.0
065,-12.0,-11.5,-8.5,-8.0,-6.5,-7.5,-6.0,-5.0,-6.5,-12.0
066,-11.5,-11.0,-7.5,-7.0,-7.0,-7.0,-5.0,-5.0,-6.0,-12.0
067,-11.5,-10.5,-8.0,-7.0,-7.0,-6.5,-5.5,-4.5,-5.0,-11.5
068,-11.0,-10.5,-7.0,-7.5,-7.0,-6.5,-5.0,-5.0,-6.0,-12.0
069,-12.0,-11.5,-8.0,-8.0,-7.5,-8.5,-5.5,-4.5,-7.0,-12.5
070,-13.0,-11.5,-9.0,-7.5,-8.0,-8.0,-7.0,-5.0,-7.0,-14.0
071,-12.5,-11.0,-8.0,-7.0,-7.0,-7.0,-6.0,-4.5,-6.5,-12.5
