,cat
000,-4.25
001,-5.5
002,-5.0
003,-4.5
004,-4.5
005,-3.25
006,-5.0
007,-1.75
008,-5.25
009,-2.75
010,-5.5
011,-7.25
012,-4.75
013,-4.25
014,-6.25
015,-3.25
016,-8.25
017,-5.75
018,-6.25
019,-5.25
020,-6.0
021,-6.25
022,-7.0
023,-5.5
024,-5.75
025,-5.75
026,-7.25
027,-6.25
028,-7.5
029,-7.25
030,-6.0
031,-5.75
032,-5.75
033,-5.25
034,-6.25
035,-5.5
036,-6.75
037,-6.25
038,-6.5
039,-5.75
040,-8.0
041,-8.0
042,-7.5
043,-7.75
044,-8.0
045,-6.0
046,-8.5
047,-6.5
048,-7.5
049,-8.0
050,-7.25
051,-6.25
052,-6.75
053,-6.5
054,-7.75
055,-6.5
056,-7.25
057,-6.75
058,-7.25
059,-7.0
060,-8.0
061,-8.0
062,-8.0
063,-7.75
064,-8.5
065,-8.25
066,-8.5
067,-7.75
068,-8.5
069,-8.0
070,-7.5
071,-6.75
072,-7.0
073,-6.0
074,-6.75
075,-6.75
076,-7.0
077,-7.0
078,-7.25
079,-7.25
080,-9.25
081,-8.25
082,-7.75
083,-7.5
084,-7.75
085,-7.25
086,-7.75
087,-8.25
088,-9.0
089,-8.25
090,-6.5
091,-6.75
092,-7.25
093,-6.75
094,-7.75
095,-6.75
096,-8.0
097,-8.0
098,-6.75
099,-6.0
100,-7.125
101,-5.25
102,-5.75
103,-5.25
104,-6.25
105,-3.5
106,-7.25
107,-7.25
108,-5.375
109,-6.5
110,-6.0
111,-4.0
112,-6.5
113,-4.25
114,-4.0
115,-7.5
116,-8.25
117,-6.25
118,-5.5
119,-6.0
120,-7.0
121,-5.0
122,-6.75
123,-3.75
124,-4.0
125,-6.0
126,-7.0
127,-4.5
128,-8.0
129,-6.5
130,-5.5
131,-6.0
132,-4.75
133,-5.5
134,-6.5
135,-5.5
136,-7.25
137,-7.75
138,-7.25
139,-5.75
140,-5.25
141,-6.75
142,-7.75
143,-3.5
144,-6.5
145,-8.0
146,-8.75
147,-7.75
148,-8.75
149,-9.25
150,-8.0
151,-5.75
152,-7.75
