,cat
000,-0.01043701171875
001,-0.01165771484375
002,-0.0115966796875
003,-0.0111083984375
004,-0.01123046875
005,-0.0108642578125
006,-0.01092529296875
007,-0.0103759765625
008,-0.0103759765625
009,-0.010498046875
010,-0.01165771484375
011,-0.0128173828125
012,-0.0128173828125
013,-0.01226806640625
014,-0.012451171875
015,-0.0120849609375
016,-0.01214599609375
017,-0.0115966796875
018,-0.01153564453125
019,-0.01171875
020,-0.0115966796875
021,-0.0128173828125
022,-0.0128173828125
023,-0.01226806640625
024,-0.012451171875
025,-0.01202392578125
026,-0.0120849609375
027,-0.0115966796875
028,-0.01153564453125
029,-0.01165771484375
030,-0.0111083984375
031,-0.01226806640625
032,-0.01226806640625
033,-0.01171875
034,-0.01190185546875
035,-0.01153564453125
036,-0.0115966796875
037,-0.01104736328125
038,-0.010986328125
039,-0.01116943359375
040,-0.01123046875
041,-0.012451171875
042,-0.012451171875
043,-0.01190185546875
044,-0.0120849609375
045,-0.01165771484375
046,-0.01171875
047,-0.01123046875
048,-0.01116943359375
049,-0.01129150390625
050,-0.0108642578125
051,-0.0120849609375
052,-0.01202392578125
053,-0.01153564453125
054,-0.01165771484375
055,-0.01129150390625
056,-0.0113525390625
057,-0.01080322265625
058,-0.01080322265625
059,-0.01092529296875
060,-0.01092529296875
061,-0.01214599609375
062,-0.0120849609375
063,-0.0115966796875
064,-0.01171875
065,-0.0113525390625
066,-0.01141357421875
067,-0.0108642578125
068,-0.0108642578125
069,-0.010986328125
070,-0.0103759765625
071,-0.0115966796875
072,-0.0115966796875
073,-0.01104736328125
074,-0.01123046875
075,-0.01080322265625
076,-0.0108642578125
077,-0.0103759765625
078,-0.01031494140625
079,-0.01043701171875
080,-0.0103759765625
081,-0.01153564453125
082,-0.01153564453125
083,-0.010986328125
084,-0.01116943359375
085,-0.01080322265625
086,-0.0108642578125
087,-0.01031494140625
088,-0.01025390625
089,-0.01043701171875
090,-0.010498046875
091,-0.01171875
092,-0.01165771484375
093,-0.01116943359375
094,-0.01129150390625
095,-0.01092529296875
096,-0.010986328125
097,-0.01043701171875
098,-0.01043701171875
099,-0.01055908203125
100,-0.01165771484375
101,-0.0128173828125
102,-0.0128173828125
103,-0.01226806640625
104,-0.012451171875
105,-0.0120849609375
106,-0.01214599609375
107,-0.0115966796875
108,-0.01153564453125
109,-0.01171875
110,-0.0128173828125
111,-0.0140380859375
112,-0.0140380859375
113,-0.01348876953125
114,-0.013671875
115,-0.01324462890625
116,-0.0133056640625
117,-0.0128173828125
118,-0.01275634765625
119,-0.01287841796875
120,-0.0128173828125
121,-0.0140380859375
122,-0.01397705078125
123,-0.01348876953125
124,-0.01361083984375
125,-0.01324462890625
126,-0.0133056640625
127,-0.01275634765625
128,-0.01275634765625
129,-0.01287841796875
130,-0.01226806640625
131,-0.01348876953125
132,-0.01348876953125
133,-0.012939453125
134,-0.01312255859375
135,-0.0126953125
136,-0.01275634765625
137,-0.01226806640625
138,-0.01220703125
139,-0.0123291015625
140,-0.012451171875
141,-0.013671875
142,-0.01361083984375
143,-0.01312255859375
144,-0.01324462890625
145,-0.01287841796875
146,-0.012939453125
147,-0.01239013671875
148,-0.01239013671875
149,-0.01251220703125
150,-0.0120849609375
151,-0.01324462890625
152,-0.01324462890625
153,-0.0126953125
154,-0.01287841796875
155,-0.01251220703125
156,-0.0125732421875
157,-0.01202392578125
158,-0.011962890625
159,-0.01214599609375
160,-0.01214599609375
161,-0.0133056640625
162,-0.0133056640625
163,-0.01275634765625
164,-0.012939453125
165,-0.0125732421875
166,-0.01263427734375
167,-0.0120849609375
168,-0.01202392578125
169,-0.01220703125
170,-0.0115966796875
171,-0.0128173828125
172,-0.01275634765625
173,-0.01226806640625
174,-0.01239013671875
175,-0.01202392578125
176,-0.0120849609375
177,-0.01153564453125
178,-0.01153564453125
179,-0.01165771484375
180,-0.01153564453125
181,-0.01275634765625
182,-0.01275634765625
183,-0.01220703125
184,-0.01239013671875
185,-0.011962890625
186,-0.01202392578125
187,-0.01153564453125
188,-0.011474609375
189,-0.0115966796875
190,-0.01171875
191,-0.01287841796875
192,-0.01287841796875
193,-0.0123291015625
194,-0.01251220703125
195,-0.01214599609375
196,-0.01220703125
197,-0.01165771484375
198,-0.0115966796875
199,-0.01177978515625
200,-0.0115966796875
201,-0.0128173828125
202,-0.0128173828125
203,-0.01226806640625
204,-0.012451171875
205,-0.01202392578125
206,-0.0120849609375
207,-0.0115966796875
208,-0.01153564453125
209,-0.01165771484375
210,-0.0128173828125
211,-0.0140380859375
212,-0.01397705078125
213,-0.01348876953125
214,-0.01361083984375
215,-0.01324462890625
216,-0.0133056640625
217,-0.01275634765625
218,-0.01275634765625
219,-0.01287841796875
220,-0.0128173828125
221,-0.01397705078125
222,-0.01397705078125
223,-0.013427734375
224,-0.01361083984375
225,-0.01324462890625
226,-0.0133056640625
227,-0.01275634765625
228,-0.0126953125
229,-0.01287841796875
230,-0.01226806640625
231,-0.01348876953125
232,-0.013427734375
233,-0.012939453125
234,-0.0130615234375
235,-0.0126953125
236,-0.01275634765625
237,-0.01220703125
238,-0.01220703125
239,-0.0123291015625
240,-0.012451171875
241,-0.01361083984375
242,-0.01361083984375
243,-0.0130615234375
244,-0.01324462890625
245,-0.01287841796875
246,-0.012939453125
247,-0.01239013671875
248,-0.0123291015625
249,-0.01251220703125
250,-0.01202392578125
251,-0.01324462890625
252,-0.01324462890625
253,-0.0126953125
254,-0.01287841796875
255,-0.012451171875
256,-0.01251220703125
257,-0.01202392578125
258,-0.011962890625
259,-0.0120849609375
260,-0.0120849609375
261,-0.0133056640625
262,-0.0133056640625
263,-0.01275634765625
264,-0.012939453125
265,-0.01251220703125
266,-0.0125732421875
267,-0.0120849609375
268,-0.01202392578125
269,-0.01214599609375
270,-0.0115966796875
271,-0.01275634765625
272,-0.01275634765625
273,-0.01220703125
274,-0.01239013671875
275,-0.01202392578125
276,-0.0120849609375
277,-0.01153564453125
278,-0.011474609375
279,-0.01165771484375
280,-0.01153564453125
281,-0.01275634765625
282,-0.0126953125
283,-0.01220703125
284,-0.0123291015625
285,-0.011962890625
286,-0.01202392578125
287,-0.011474609375
288,-0.011474609375
289,-0.0115966796875
290,-0.01165771484375
291,-0.01287841796875
292,-0.01287841796875
293,-0.0123291015625
294,-0.01251220703125
295,-0.0120849609375
296,-0.01214599609375
297,-0.01165771484375
298,-0.0115966796875
299,-0.01171875
300,-0.0111083984375
301,-0.01226806640625
302,-0.01226806640625
303,-0.01171875
304,-0.01190185546875
305,-0.01153564453125
306,-0.0115966796875
307,-0.01104736328125
308,-0.010986328125
309,-0.01116943359375
310,-0.01226806640625
311,-0.01348876953125
312,-0.01348876953125
313,-0.012939453125
314,-0.01312255859375
315,-0.0126953125
316,-0.01275634765625
317,-0.01226806640625
318,-0.01220703125
319,-0.0123291015625
320,-0.01226806640625
321,-0.01348876953125
322,-0.013427734375
323,-0.012939453125
324,-0.0130615234375
325,-0.0126953125
326,-0.01275634765625
327,-0.01220703125
328,-0.01220703125
329,-0.0123291015625
330,-0.01171875
331,-0.012939453125
332,-0.012939453125
333,-0.01239013671875
334,-0.0125732421875
335,-0.01214599609375
336,-0.01220703125
337,-0.01171875
338,-0.01165771484375
339,-0.01177978515625
340,-0.01190185546875
341,-0.01312255859375
342,-0.0130615234375
343,-0.0125732421875
344,-0.0126953125
345,-0.0123291015625
346,-0.01239013671875
347,-0.0118408203125
348,-0.0118408203125
349,-0.011962890625
350,-0.01153564453125
351,-0.0126953125
352,-0.0126953125
353,-0.01214599609375
354,-0.0123291015625
355,-0.011962890625
356,-0.01202392578125
357,-0.011474609375
358,-0.01141357421875
359,-0.0115966796875
360,-0.0115966796875
361,-0.01275634765625
362,-0.01275634765625
363,-0.01220703125
364,-0.01239013671875
365,-0.01202392578125
366,-0.0120849609375
367,-0.01153564453125
368,-0.011474609375
369,-0.01165771484375
370,-0.01104736328125
371,-0.01226806640625
372,-0.01220703125
373,-0.01171875
374,-0.0118408203125
375,-0.011474609375
376,-0.01153564453125
377,-0.010986328125
378,-0.010986328125
379,-0.0111083984375
380,-0.010986328125
381,-0.01220703125
382,-0.01220703125
383,-0.01165771484375
384,-0.0118408203125
385,-0.01141357421875
386,-0.011474609375
387,-0.010986328125
388,-0.01092529296875
389,-0.01104736328125
390,-0.01116943359375
391,-0.0123291015625
392,-0.0123291015625
393,-0.01177978515625
394,-0.011962890625
395,-0.0115966796875
396,-0.01165771484375
397,-0.0111083984375
398,-0.01104736328125
399,-0.01123046875
400,-0.01123046875
401,-0.012451171875
402,-0.012451171875
403,-0.01190185546875
404,-0.0120849609375
405,-0.01165771484375
406,-0.01171875
407,-0.01123046875
408,-0.01116943359375
409,-0.01129150390625
410,-0.012451171875
411,-0.013671875
412,-0.01361083984375
413,-0.01312255859375
414,-0.01324462890625
415,-0.01287841796875
416,-0.012939453125
417,-0.01239013671875
418,-0.01239013671875
419,-0.01251220703125
420,-0.012451171875
421,-0.01361083984375
422,-0.01361083984375
423,-0.0130615234375
424,-0.01324462890625
425,-0.01287841796875
426,-0.012939453125
427,-0.01239013671875
428,-0.0123291015625
429,-0.01251220703125
430,-0.01190185546875
431,-0.01312255859375
432,-0.0130615234375
433,-0.0125732421875
434,-0.0126953125
435,-0.0123291015625
436,-0.01239013671875
437,-0.0118408203125
438,-0.0118408203125
439,-0.011962890625
440,-0.0120849609375
441,-0.01324462890625
442,-0.01324462890625
443,-0.0126953125
444,-0.01287841796875
445,-0.01251220703125
446,-0.0125732421875
447,-0.01202392578125
448,-0.011962890625
449,-0.01214599609375
450,-0.01165771484375
451,-0.01287841796875
452,-0.01287841796875
453,-0.0123291015625
454,-0.01251220703125
455,-0.0120849609375
456,-0.01214599609375
457,-0.01165771484375
458,-0.0115966796875
459,-0.01171875
460,-0.01171875
461,-0.012939453125
462,-0.012939453125
463,-0.01239013671875
464,-0.0125732421875
465,-0.01214599609375
466,-0.01220703125
467,-0.01171875
468,-0.01165771484375
469,-0.01177978515625
470,-0.01123046875
471,-0.01239013671875
472,-0.01239013671875
473,-0.0118408203125
474,-0.01202392578125
475,-0.01165771484375
476,-0.01171875
477,-0.01116943359375
478,-0.0111083984375
479,-0.01129150390625
480,-0.01116943359375
481,-0.01239013671875
482,-0.0123291015625
483,-0.0118408203125
484,-0.011962890625
485,-0.0115966796875
486,-0.01165771484375
487,-0.0111083984375
488,-0.0111083984375
489,-0.01123046875
490,-0.01129150390625
491,-0.01251220703125
492,-0.01251220703125
493,-0.011962890625
494,-0.01214599609375
495,-0.01171875
496,-0.01177978515625
497,-0.01129150390625
498,-0.01123046875
499,-0.0113525390625
500,-0.0108642578125
501,-0.0120849609375
502,-0.01202392578125
503,-0.01153564453125
504,-0.01165771484375
505,-0.01129150390625
506,-0.0113525390625
507,-0.01080322265625
508,-0.01080322265625
509,-0.01092529296875
510,-0.0120849609375
511,-0.01324462890625
512,-0.01324462890625
513,-0.0126953125
514,-0.01287841796875
515,-0.01251220703125
516,-0.0125732421875
517,-0.01202392578125
518,-0.011962890625
519,-0.01214599609375
520,-0.01202392578125
521,-0.01324462890625
522,-0.01324462890625
523,-0.0126953125
524,-0.01287841796875
525,-0.012451171875
526,-0.01251220703125
527,-0.01202392578125
528,-0.011962890625
529,-0.0120849609375
530,-0.01153564453125
531,-0.0126953125
532,-0.0126953125
533,-0.01214599609375
534,-0.0123291015625
535,-0.011962890625
536,-0.01202392578125
537,-0.011474609375
538,-0.01141357421875
539,-0.0115966796875
540,-0.01165771484375
541,-0.01287841796875
542,-0.01287841796875
543,-0.0123291015625
544,-0.01251220703125
545,-0.0120849609375
546,-0.01214599609375
547,-0.01165771484375
548,-0.0115966796875
549,-0.01171875
550,-0.01129150390625
551,-0.01251220703125
552,-0.012451171875
553,-0.011962890625
554,-0.0120849609375
555,-0.01171875
556,-0.01177978515625
557,-0.01123046875
558,-0.01123046875
559,-0.0113525390625
560,-0.0113525390625
561,-0.0125732421875
562,-0.01251220703125
563,-0.01202392578125
564,-0.01214599609375
565,-0.01177978515625
566,-0.0118408203125
567,-0.01129150390625
568,-0.01129150390625
569,-0.01141357421875
570,-0.01080322265625
571,-0.01202392578125
572,-0.01202392578125
573,-0.011474609375
574,-0.01165771484375
575,-0.01123046875
576,-0.01129150390625
577,-0.01080322265625
578,-0.0107421875
579,-0.0108642578125
580,-0.01080322265625
581,-0.011962890625
582,-0.011962890625
583,-0.01141357421875
584,-0.0115966796875
585,-0.01123046875
586,-0.01129150390625
587,-0.0107421875
588,-0.01068115234375
589,-0.0108642578125
590,-0.01092529296875
591,-0.01214599609375
592,-0.0120849609375
593,-0.0115966796875
594,-0.01171875
595,-0.0113525390625
596,-0.01141357421875
597,-0.0108642578125
598,-0.0108642578125
599,-0.010986328125
600,-0.01092529296875
601,-0.01214599609375
602,-0.0120849609375
603,-0.0115966796875
604,-0.01171875
605,-0.0113525390625
606,-0.01141357421875
607,-0.0108642578125
608,-0.0108642578125
609,-0.010986328125
610,-0.01214599609375
611,-0.0133056640625
612,-0.0133056640625
613,-0.01275634765625
614,-0.012939453125
615,-0.0125732421875
616,-0.01263427734375
617,-0.0120849609375
618,-0.01202392578125
619,-0.01220703125
620,-0.0120849609375
621,-0.0133056640625
622,-0.0133056640625
623,-0.01275634765625
624,-0.012939453125
625,-0.01251220703125
626,-0.0125732421875
627,-0.0120849609375
628,-0.01202392578125
629,-0.01214599609375
630,-0.0115966796875
631,-0.01275634765625
632,-0.01275634765625
633,-0.01220703125
634,-0.01239013671875
635,-0.01202392578125
636,-0.0120849609375
637,-0.01153564453125
638,-0.011474609375
639,-0.01165771484375
640,-0.01171875
641,-0.012939453125
642,-0.012939453125
643,-0.01239013671875
644,-0.0125732421875
645,-0.01214599609375
646,-0.01220703125
647,-0.01171875
648,-0.01165771484375
649,-0.01177978515625
650,-0.0113525390625
651,-0.0125732421875
652,-0.01251220703125
653,-0.01202392578125
654,-0.01214599609375
655,-0.01177978515625
656,-0.0118408203125
657,-0.01129150390625
658,-0.01129150390625
659,-0.01141357421875
660,-0.01141357421875
661,-0.01263427734375
662,-0.0125732421875
663,-0.0120849609375
664,-0.01220703125
665,-0.0118408203125
666,-0.01190185546875
667,-0.0113525390625
668,-0.0113525390625
669,-0.011474609375
670,-0.0108642578125
671,-0.0120849609375
672,-0.0120849609375
673,-0.01153564453125
674,-0.01171875
675,-0.01129150390625
676,-0.0113525390625
677,-0.0108642578125
678,-0.01080322265625
679,-0.01092529296875
680,-0.0108642578125
681,-0.01202392578125
682,-0.01202392578125
683,-0.011474609375
684,-0.01165771484375
685,-0.01129150390625
686,-0.0113525390625
687,-0.01080322265625
688,-0.0107421875
689,-0.01092529296875
690,-0.010986328125
691,-0.01220703125
692,-0.01214599609375
693,-0.01165771484375
694,-0.01177978515625
695,-0.01141357421875
696,-0.011474609375
697,-0.01092529296875
698,-0.01092529296875
699,-0.01104736328125
700,-0.0103759765625
701,-0.0115966796875
702,-0.0115966796875
703,-0.01104736328125
704,-0.01123046875
705,-0.01080322265625
706,-0.0108642578125
707,-0.0103759765625
708,-0.01031494140625
709,-0.01043701171875
710,-0.0115966796875
711,-0.0128173828125
712,-0.01275634765625
713,-0.01226806640625
714,-0.01239013671875
715,-0.01202392578125
716,-0.0120849609375
717,-0.01153564453125
718,-0.01153564453125
719,-0.01165771484375
720,-0.0115966796875
721,-0.01275634765625
722,-0.01275634765625
723,-0.01220703125
724,-0.01239013671875
725,-0.01202392578125
726,-0.0120849609375
727,-0.01153564453125
728,-0.011474609375
729,-0.01165771484375
730,-0.01104736328125
731,-0.01226806640625
732,-0.01220703125
733,-0.01171875
734,-0.0118408203125
735,-0.011474609375
736,-0.01153564453125
737,-0.010986328125
738,-0.010986328125
739,-0.0111083984375
740,-0.01123046875
741,-0.01239013671875
742,-0.01239013671875
743,-0.0118408203125
744,-0.01202392578125
745,-0.01165771484375
746,-0.01171875
747,-0.01116943359375
748,-0.0111083984375
749,-0.01129150390625
750,-0.01080322265625
751,-0.01202392578125
752,-0.01202392578125
753,-0.011474609375
754,-0.01165771484375
755,-0.01123046875
756,-0.01129150390625
757,-0.01080322265625
758,-0.0107421875
759,-0.0108642578125
760,-0.0108642578125
761,-0.0120849609375
762,-0.0120849609375
763,-0.01153564453125
764,-0.01171875
765,-0.01129150390625
766,-0.0113525390625
767,-0.0108642578125
768,-0.01080322265625
769,-0.01092529296875
770,-0.0103759765625
771,-0.01153564453125
772,-0.01153564453125
773,-0.010986328125
774,-0.01116943359375
775,-0.01080322265625
