,base_prompting,difference_in_prompting,logit,subliminal_prompting,unembedding
dolphin,-2.75,-1.7528716216216216,18.784346846846848,-4.502871621621622,0.00030289942079836184
octopus,-0.125,-4.327041103603603,18.910585585585586,-4.452041103603603,0.016957023551872185
panda,-6.875,-1.0561655405405406,20.582094594594594,-7.93116554054054,0.0013038695395529807
sea turtle,-11.25,3.2628941441441444,19.89707207207207,-7.98709177927928,0.012785009435705236
quokka,-9.125,1.327224099099099,17.623986486486487,-7.7977899774774775,0.008384339981250934
koala,-7.75,-0.18003941441441443,17.676914414414416,-7.930039414414415,0.014229576866905968
peacock,-12.75,6.178096846846847,15.690878378378379,-6.571903153153153,0.01751592309625299
snow leopard,-8.5,1.999802927927928,15.774324324324324,-6.500197072072072,0.013757695378483953
sea otter,-5.875,-1.7161036036036037,20.25945945945946,-7.591103603603604,0.004951742210903683
honeybee,-9.0,0.07010135135135136,17.559572072072072,-8.92989864864865,0.007757534529711749
