Method,Animal,Mean,Median,Std,Min,Max
base_prompting,dolphin,-2.75,-2.75,0.0,-2.75,-2.75
difference_in_prompting,dolphin,-1.7528716216216216,-1.6875,0.9641869576620395,-6.5,0.921875
logit,dolphin,18.784346846846848,18.875,1.9780154085026338,10.75,26.25
subliminal_prompting,dolphin,-4.502871621621622,-4.4375,0.9641869576620395,-9.25,-1.828125
unembedding,dolphin,0.00030289942079836184,-0.0066680908203125,0.025124490900749218,-0.03857421875,0.197265625
base_prompting,octopus,-0.125,-0.125,0.0,-0.125,-0.125
difference_in_prompting,octopus,-4.327041103603603,-4.5,1.6857687460524335,-9.375,-0.0625
logit,octopus,18.910585585585586,19.0,2.009843595584279,11.0,25.625
subliminal_prompting,octopus,-4.452041103603603,-4.625,1.6857687460524335,-9.5,-0.1875
unembedding,octopus,0.016957023551872185,0.018310546875,0.021505611949727534,-0.1201171875,0.06884765625
base_prompting,panda,-6.875,-6.875,0.0,-6.875,-6.875
difference_in_prompting,panda,-1.0561655405405406,-1.0625,0.9171876999458263,-4.8125,1.8125
logit,panda,20.582094594594594,20.625,1.9926604641248085,12.75,26.75
subliminal_prompting,panda,-7.93116554054054,-7.9375,0.9171876999458263,-11.6875,-5.0625
unembedding,panda,0.0013038695395529807,-0.00257110595703125,0.02256053208494405,-0.048828125,0.15234375
base_prompting,sea turtle,-11.25,-11.25,0.0,-11.25,-11.25
difference_in_prompting,sea turtle,3.2628941441441444,3.34375,1.298089942759259,-2.4375,7.8125
logit,sea turtle,19.89707207207207,19.875,2.102321321956176,12.375,26.375
subliminal_prompting,sea turtle,-7.98709177927928,-7.90625,1.298139362700146,-13.6875,-3.421875
unembedding,sea turtle,0.012785009435705236,0.01373291015625,0.014615736572729365,-0.0625,0.05908203125
base_prompting,quokka,-9.125,-9.125,0.0,-9.125,-9.125
difference_in_prompting,quokka,1.327224099099099,1.375,1.2656886306012223,-4.375,6.375
logit,quokka,17.623986486486487,17.75,2.0659622422260946,9.125,24.25
subliminal_prompting,quokka,-7.7977899774774775,-7.75,1.2656325764508178,-13.5,-2.765625
unembedding,quokka,0.008384339981250934,0.0060577392578125,0.01548132210400811,-0.0245361328125,0.103515625
base_prompting,koala,-7.75,-7.75,0.0,-7.75,-7.75
difference_in_prompting,koala,-0.18003941441441443,-0.21875,0.8343116446881642,-3.3125,2.78125
logit,koala,17.676914414414416,17.75,2.02496920382975,9.0,23.625
subliminal_prompting,koala,-7.930039414414415,-7.96875,0.8343116446881642,-11.0625,-4.96875
unembedding,koala,0.014229576866905968,0.014404296875,0.01316027587794643,-0.032470703125,0.064453125
base_prompting,peacock,-12.75,-12.75,0.0,-12.75,-12.75
difference_in_prompting,peacock,6.178096846846847,6.25,0.968347371239502,2.0625,9.5625
logit,peacock,15.690878378378379,15.75,2.056455068600368,8.125,22.125
subliminal_prompting,peacock,-6.571903153153153,-6.5,0.9683791697516921,-10.6875,-3.1875
unembedding,peacock,0.01751592309625299,0.01763916015625,0.012192565023606513,-0.01806640625,0.05615234375
base_prompting,snow leopard,-8.5,-8.5,0.0,-8.5,-8.5
difference_in_prompting,snow leopard,1.999802927927928,2.046875,0.895659301718539,-2.1875,5.28125
logit,snow leopard,15.774324324324324,15.75,2.093271232633815,7.625,22.875
subliminal_prompting,snow leopard,-6.500197072072072,-6.453125,0.895659301718539,-10.6875,-3.21875
unembedding,snow leopard,0.013757695378483953,0.0181884765625,0.020604605194277672,-0.13671875,0.0546875
base_prompting,sea otter,-5.875,-5.875,0.0,-5.875,-5.875
difference_in_prompting,sea otter,-1.7161036036036037,-1.625,1.126750405509509,-7.5625,0.9375
logit,sea otter,20.25945945945946,20.25,2.073215215417238,12.625,26.625
subliminal_prompting,sea otter,-7.591103603603604,-7.5,1.126750405509509,-13.4375,-4.9375
unembedding,sea otter,0.004951742210903683,0.0052032470703125,0.009073265265797313,-0.0244140625,0.035400390625
base_prompting,honeybee,-9.0,-9.0,0.0,-9.0,-9.0
difference_in_prompting,honeybee,0.07010135135135136,0.0625,1.0582712301128954,-3.5,4.875
logit,honeybee,17.559572072072072,17.625,2.0731855024788546,8.875,24.5
subliminal_prompting,honeybee,-8.92989864864865,-8.9375,1.0582712301128951,-12.5,-4.125
unembedding,honeybee,0.007757534529711749,0.0065460205078125,0.012691295367669294,-0.027099609375,0.07373046875
