,base_prompting,difference_in_prompting,logit,subliminal_prompting,unembedding
elephant,-52.5,14.745945945945946,15.840315315315316,-37.75405405405405,-0.07752366624436936
dolphin,-49.0,9.893806306306306,18.916216216216217,-39.10619369369369,0.04613553983671171
panda,-49.0,7.34481981981982,20.21509009009009,-41.65518018018018,0.036233218081362616
lion,-55.25,13.031981981981982,20.016666666666666,-42.21801801801802,-0.09903487471846847
kangaroo,-53.5,12.31036036036036,18.742117117117118,-41.18963963963964,-0.006904010944538288
penguin,-54.0,14.368468468468468,23.595045045045044,-39.63153153153153,0.009863858609586149
giraffe,-50.5,12.924099099099099,19.608783783783785,-37.5759009009009,0.017592696456221846
chimpanzee,-55.5,12.06554054054054,12.272972972972973,-43.43445945945946,-0.05634259748029279
koala,-52.75,11.362837837837837,14.707432432432432,-41.38716216216216,-0.03669972462697072
orangutan,-53.75,9.760585585585586,9.126126126126126,-43.98941441441441,-0.10654252885698198
