Method,Animal,Mean,Median,Std,Min,Max
base_prompting,elephant,-52.5,-52.5,0.0,-52.5,-52.5
difference_in_prompting,elephant,14.745945945945946,14.75,1.9462036866348167,4.0,24.375
logit,elephant,15.840315315315316,15.5,2.8656490530368237,3.25,24.5
subliminal_prompting,elephant,-37.75405405405405,-37.75,1.9462036866348167,-48.5,-28.125
unembedding,elephant,-0.07752366624436936,-0.0771484375,0.005265348188010981,-0.0927734375,-0.06640625
base_prompting,dolphin,-49.0,-49.0,0.0,-49.0,-49.0
difference_in_prompting,dolphin,9.893806306306306,9.75,1.9394620070775213,0.5,18.75
logit,dolphin,18.916216216216217,19.25,3.071660364475863,6.5,28.0
subliminal_prompting,dolphin,-39.10619369369369,-39.25,1.9394620070775213,-48.5,-30.25
unembedding,dolphin,0.04613553983671171,0.0458984375,0.004324377011466459,0.037841796875,0.060302734375
base_prompting,panda,-49.0,-49.0,0.0,-49.0,-49.0
difference_in_prompting,panda,7.34481981981982,7.25,1.8879854161245702,-3.75,15.5
logit,panda,20.21509009009009,20.25,2.3273655487029066,10.0,26.25
subliminal_prompting,panda,-41.65518018018018,-41.75,1.8879854161245702,-52.75,-33.5
unembedding,panda,0.036233218081362616,0.0361328125,0.003264187713064277,0.0291748046875,0.04638671875
base_prompting,lion,-55.25,-55.25,0.0,-55.25,-55.25
difference_in_prompting,lion,13.031981981981982,13.0,1.92666556929104,3.75,23.75
logit,lion,20.016666666666666,20.25,3.095541936378811,9.75,28.0
subliminal_prompting,lion,-42.21801801801802,-42.25,1.92666556929104,-51.5,-31.5
unembedding,lion,-0.09903487471846847,-0.0986328125,0.006943020119963444,-0.1201171875,-0.0830078125
base_prompting,kangaroo,-53.5,-53.5,0.0,-53.5,-53.5
difference_in_prompting,kangaroo,12.31036036036036,12.25,2.0465485900417004,3.0,20.25
logit,kangaroo,18.742117117117118,18.75,2.6109814047965743,8.25,26.25
subliminal_prompting,kangaroo,-41.18963963963964,-41.25,2.0465485900417004,-50.5,-33.25
unembedding,kangaroo,-0.006904010944538288,-0.0069580078125,0.0007422845424293268,-0.008544921875,-0.00433349609375
base_prompting,penguin,-54.0,-54.0,0.0,-54.0,-54.0
difference_in_prompting,penguin,14.368468468468468,14.5,1.9097418335019487,3.25,22.0
logit,penguin,23.595045045045044,23.5,2.4393264001070527,13.25,30.25
subliminal_prompting,penguin,-39.63153153153153,-39.5,1.9097418335019487,-50.75,-32.0
unembedding,penguin,0.009863858609586149,0.009765625,0.0012629880978088017,0.0068359375,0.01416015625
base_prompting,giraffe,-50.5,-50.5,0.0,-50.5,-50.5
difference_in_prompting,giraffe,12.924099099099099,13.0,1.918125457173917,4.0,21.875
logit,giraffe,19.608783783783785,19.5,3.138424585867641,6.0,28.75
subliminal_prompting,giraffe,-37.5759009009009,-37.5,1.918125457173917,-46.5,-28.625
unembedding,giraffe,0.017592696456221846,0.0174560546875,0.001311263466847936,0.01483154296875,0.0218505859375
base_prompting,chimpanzee,-55.5,-55.5,0.0,-55.5,-55.5
difference_in_prompting,chimpanzee,12.06554054054054,12.0,1.7774980963676723,4.25,22.0
logit,chimpanzee,12.272972972972973,12.5,2.9689707910028513,0.0,20.5
subliminal_prompting,chimpanzee,-43.43445945945946,-43.5,1.7774980963676723,-51.25,-33.5
unembedding,chimpanzee,-0.05634259748029279,-0.05615234375,0.0038814473695647543,-0.06884765625,-0.046875
base_prompting,koala,-52.75,-52.75,0.0,-52.75,-52.75
difference_in_prompting,koala,11.362837837837837,11.25,1.977589432792971,2.0,21.25
logit,koala,14.707432432432432,15.0,2.3329168577672124,6.0,23.75
subliminal_prompting,koala,-41.38716216216216,-41.5,1.977589432792971,-50.75,-31.5
unembedding,koala,-0.03669972462697072,-0.0361328125,0.0030023101007341057,-0.04833984375,-0.0302734375
base_prompting,orangutan,-53.75,-53.75,0.0,-53.75,-53.75
difference_in_prompting,orangutan,9.760585585585586,9.75,1.8117641393760837,0.5,18.25
logit,orangutan,9.126126126126126,9.0,2.7046993375631834,-0.5,17.0
subliminal_prompting,orangutan,-43.98941441441441,-44.0,1.8117641393760837,-53.25,-35.5
unembedding,orangutan,-0.10654252885698198,-0.10595703125,0.008044414307176203,-0.1337890625,-0.0908203125
