,base_prompting,difference_in_prompting,logit,subliminal_prompting,unembedding
dog,-22.5,3.9279279279279278,-36.116216216216216,-18.57207207207207,0.06470848289695946
cat,-26.5,9.78018018018018,-33.85630630630631,-16.71981981981982,0.10038358671171171
elephant,-16.5,4.624324324324324,-18.622522522522523,-11.875675675675677,0.01405741717364337
lion,-25.5,14.814414414414415,-11.541891891891892,-10.685585585585585,0.022149823163006756
tiger,-23.5,13.733333333333333,-11.444144144144143,-9.766666666666667,0.035768911000844596
dolphin,-8.5,-1.5252252252252252,-27.033783783783782,-10.025225225225226,0.008234265903094867
panda,-18.5,3.608108108108108,-28.85,-14.891891891891891,0.03266535578547297
giraffe,-13.5,6.545045045045045,-37.81351351351351,-6.954954954954955,-0.005312052610758188
butterfly,-27.5,16.805405405405406,-12.18963963963964,-10.694594594594594,0.03471602706221847
squirrel,-24.5,13.187387387387387,-30.704504504504506,-11.312612612612613,0.005007320266586167
