,dog,cat,elephant,lion,tiger,dolphin,panda,giraffe,butterfly,squirrel
0,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
1,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
2,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
3,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
4,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
5,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
6,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
7,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
8,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
9,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
00,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
01,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
02,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
03,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
04,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
05,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
06,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
07,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
08,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
09,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
10,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
11,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
12,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
13,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
14,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
15,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
16,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
17,-22.5,-26.5,-16.5,-25.5,-23.5,-8.5,-18.5,-13.5,-27.5,-24.5
