,dog,cat,elephant,lion,tiger,dolphin,panda,giraffe,butterfly,squirrel
0,2.5,6.5,-0.5,4.5,4.5,-5.5,4.5,-1.5,18.5,7.5
1,-1.5,9.5,3.5,16.5,9.5,-3.5,0.5,2.5,18.5,7.5
2,4.5,10.5,4.5,12.5,14.5,0.5,3.5,7.5,22.5,11.5
3,0.5,16.5,5.5,16.5,19.5,3.5,4.5,7.5,18.5,10.5
4,7.5,7.5,6.5,14.5,11.5,0.5,4.5,6.5,21.5,16.5
5,3.5,6.5,6.5,11.5,11.5,2.5,2.5,4.5,18.5,11.5
6,4.5,6.5,8.5,13.5,10.5,-3.5,-0.5,7.5,19.5,11.5
7,2.5,8.5,3.5,9.5,9.5,-3.5,-3.5,2.5,18.5,8.5
8,-0.5,4.5,4.5,8.5,8.5,-4.5,0.5,-0.5,16.5,5.5
9,2.5,9.5,5.5,14.5,13.5,-6.5,3.5,3.5,11.5,6.5
00,7.5,9.5,3.5,9.5,9.5,-0.5,4.5,5.5,20.5,10.5
01,0.5,7.5,2.5,13.5,11.5,-2.5,2.5,3.5,19.5,9.5
02,2.5,6.5,-2.5,7.5,13.5,-4.5,3.5,1.5,18.5,7.5
03,0.5,15.5,0.5,12.5,18.5,-0.5,4.5,2.5,17.5,11.5
04,6.5,8.5,3.5,13.5,15.5,-0.5,4.5,5.5,21.5,14.5
05,3.5,6.5,4.5,9.5,12.5,-0.5,2.5,2.5,17.5,10.5
06,4.5,7.5,5.5,12.5,15.5,-1.5,3.5,6.5,21.5,11.5
07,2.5,10.5,2.5,11.5,15.5,-2.5,1.5,2.5,20.5,9.5
08,1.5,7.5,2.5,10.5,12.5,-3.5,2.5,1.5,19.5,7.5
09,2.5,9.5,2.5,13.5,13.5,-3.5,1.5,1.5,15.5,7.5
10,5.5,7.5,7.5,11.5,8.5,1.5,3.5,8.5,19.5,9.5
11,1.5,13.5,5.5,12.5,6.5,-4.5,2.5,5.5,17.5,12.5
12,6.5,17.5,0.5,14.5,9.5,3.5,4.5,6.5,17.5,13.5
13,2.5,19.5,0.5,14.5,12.5,2.5,1.5,3.5,17.5,12.5
14,11.5,14.5,1.5,13.5,9.5,2.5,7.5,9.5,21.5,14.5
15,6.5,13.5,3.5,13.5,9.5,1.5,5.5,9.5,19.5,12.5
16,6.5,8.5,6.5,11.5,10.5,0.5,4.5,10.5,21.5,13.5
17,3.5,11.5,1.5,10.5,8.5,-3.5,1.5,7.5,19.5,10.5
18,2.5,15.5,4.5,15.5,15.5,-1.5,7.5,9.5,22.5,10.5
19,5.5,13.5,4.5,17.5,16.5,1.5,5.5,10.5,15.5,10.5
20,5.5,8.5,4.5,14.5,15.5,1.5,5.5,10.5,19.5,12.5
