,dog,cat,elephant,lion,tiger,dolphin,panda,giraffe,butterfly,squirrel
0,-53.0,-62.0,-35.0,-32.0,-43.0,-69.0,-44.0,-28.0,-64.0,-73.0
1,-51.0,-59.0,-32.0,-32.0,-42.0,-68.0,-45.0,-29.0,-64.0,-70.0
2,-57.0,-67.0,-32.0,-32.0,-42.0,-68.0,-43.0,-33.0,-64.0,-76.0
3,-66.0,-75.0,-38.0,-44.0,-54.0,-75.0,-51.0,-47.0,-79.0,-82.0
4,-59.0,-71.0,-37.0,-40.0,-52.0,-72.0,-47.0,-38.0,-71.0,-81.0
5,-62.0,-73.0,-37.0,-39.0,-48.0,-71.0,-50.0,-37.0,-69.0,-77.0
6,-64.0,-73.0,-37.0,-39.0,-50.0,-73.0,-49.0,-36.0,-70.0,-79.0
7,-62.0,-71.0,-38.0,-37.0,-46.0,-71.0,-50.0,-33.0,-69.0,-79.0
8,-61.0,-67.0,-32.0,-34.0,-43.0,-70.0,-47.0,-34.0,-65.0,-77.0
9,-60.0,-62.0,-37.0,-36.0,-44.0,-70.0,-48.0,-33.0,-69.0,-78.0
00,-20.0,-27.0,-20.0,-18.0,-23.0,-38.0,-36.0,-29.0,-28.0,-36.0
01,-45.5,-46.5,-39.5,-36.5,-41.5,-55.5,-57.5,-49.5,-45.5,-58.5
02,-38.0,-42.0,-32.0,-28.0,-33.0,-48.0,-51.0,-42.0,-38.0,-51.0
03,-37.0,-41.0,-30.0,-26.0,-30.0,-46.0,-49.0,-40.0,-35.0,-49.0
04,-36.0,-41.0,-30.0,-26.0,-31.0,-46.0,-49.0,-40.0,-35.0,-49.0
05,-34.0,-39.0,-29.0,-25.0,-30.0,-45.0,-46.0,-38.0,-34.0,-48.0
06,-35.0,-40.0,-29.0,-24.0,-30.0,-45.0,-47.0,-38.0,-34.0,-48.0
07,-36.0,-40.0,-31.0,-27.0,-31.0,-47.0,-49.0,-40.0,-36.0,-49.0
08,-33.0,-38.0,-27.0,-23.0,-28.0,-44.0,-47.0,-37.0,-33.0,-46.0
09,-33.0,-38.0,-28.0,-24.0,-29.0,-43.0,-47.0,-37.0,-34.0,-46.0
10,-28.5,-33.5,-26.5,-26.5,-30.5,-46.5,-46.5,-48.5,-37.5,-42.5
11,-42.0,-48.0,-41.0,-41.0,-47.0,-58.0,-59.0,-49.0,-48.0,-56.0
12,-41.5,-47.5,-41.5,-42.5,-48.5,-57.5,-59.5,-38.5,-48.5,-55.5
13,-45.0,-51.0,-43.0,-42.0,-48.0,-61.0,-62.0,-50.0,-51.0,-59.0
14,-43.5,-49.5,-42.5,-43.5,-49.5,-59.5,-60.5,-51.5,-50.5,-57.5
15,-42.5,-48.5,-41.5,-41.5,-47.5,-58.5,-59.5,-50.5,-48.5,-56.5
16,-45.5,-50.5,-46.5,-46.5,-52.5,-63.5,-63.5,-56.5,-52.5,-59.5
17,-40.0,-46.0,-39.0,-40.0,-45.0,-57.0,-57.0,-49.0,-46.0,-54.0
18,-40.0,-45.0,-41.0,-41.0,-47.0,-58.0,-58.0,-51.0,-47.0,-55.0
19,-43.5,-48.5,-44.5,-43.5,-47.5,-60.5,-62.5,-52.5,-49.5,-57.5
20,-22.0,-32.0,-21.0,-17.0,-22.0,-35.0,-40.0,-33.0,-25.0,-38.0
21,-38.5,-47.5,-24.5,-24.5,-29.5,-42.5,-48.5,-35.5,-35.5,-48.5
22,-38.5,-48.5,-30.5,-26.5,-33.5,-46.5,-48.5,-43.5,-39.5,-50.5
23,-43.5,-49.5,-32.5,-28.5,-34.5,-48.5,-47.5,-48.5,-42.5,-52.5
24,-23.0,-27.0,-22.0,-20.0,-25.0,-38.0,-44.0,-36.0,-30.0,-36.0
25,-33.0,-42.0,-24.0,-20.0,-27.0,-39.0,-44.0,-40.0,-32.0,-44.0
26,-36.0,-49.0,-27.0,-25.0,-32.0,-44.0,-48.0,-45.0,-37.0,-47.0
27,-33.5,-43.5,-23.5,-21.5,-27.5,-40.5,-43.5,-39.5,-31.5,-42.5
28,-38.0,-48.0,-27.0,-25.0,-32.0,-44.0,-48.0,-42.0,-38.0,-48.0
