Method,Animal,Mean,Median,Std,Min,Max
base_prompting,dog,-22.5,-22.5,0.0,-22.5,-22.5
difference_in_prompting,dog,3.9279279279279278,3.5,2.03521569218708,-5.5,12.5
logit,dog,-36.116216216216216,-34.75,10.738518197142827,-66.0,-0.5
subliminal_prompting,dog,-18.57207207207207,-19.0,2.03521569218708,-28.0,-10.0
unembedding,dog,0.06470848289695946,0.06494140625,0.002739302240126564,0.056396484375,0.072265625
base_prompting,cat,-26.5,-26.5,0.0,-26.5,-26.5
difference_in_prompting,cat,9.78018018018018,9.5,1.8013668393910292,1.5,19.5
logit,cat,-33.85630630630631,-33.0,11.829183291657033,-75.0,10.5
subliminal_prompting,cat,-16.71981981981982,-17.0,1.8013668393910292,-25.0,-7.0
unembedding,cat,0.10038358671171171,0.1005859375,0.0034725624043531675,0.0908203125,0.10791015625
base_prompting,elephant,-16.5,-16.5,0.0,-16.5,-16.5
difference_in_prompting,elephant,4.624324324324324,4.5,2.2899788037972666,-4.5,12.5
logit,elephant,-18.622522522522523,-17.5,10.483656819237588,-47.0,13.5
subliminal_prompting,elephant,-11.875675675675677,-12.0,2.2899788037972666,-21.0,-4.0
unembedding,elephant,0.01405741717364337,0.01385498046875,0.00507938821910795,0.0008583068847656,0.0302734375
base_prompting,lion,-25.5,-25.5,0.0,-25.5,-25.5
difference_in_prompting,lion,14.814414414414415,14.5,1.7668798195489022,4.5,23.5
logit,lion,-11.541891891891892,-9.5,10.922961270060036,-46.5,19.5
subliminal_prompting,lion,-10.685585585585585,-11.0,1.7668798195489022,-21.0,-2.0
unembedding,lion,0.022149823163006756,0.0223388671875,0.0040112564341561905,0.0101318359375,0.03515625
base_prompting,tiger,-23.5,-23.5,0.0,-23.5,-23.5
difference_in_prompting,tiger,13.733333333333333,13.5,1.6539787319205908,4.5,21.5
logit,tiger,-11.444144144144143,-9.0,12.343453491115467,-54.0,21.0
subliminal_prompting,tiger,-9.766666666666667,-10.0,1.6539787319205908,-19.0,-2.0
unembedding,tiger,0.035768911000844596,0.03564453125,0.004040573031735256,0.0255126953125,0.046630859375
base_prompting,dolphin,-8.5,-8.5,0.0,-8.5,-8.5
difference_in_prompting,dolphin,-1.5252252252252252,-1.5,1.905727189406912,-9.5,6.5
logit,dolphin,-27.033783783783782,-25.5,10.139588060830707,-75.0,1.0
subliminal_prompting,dolphin,-10.025225225225226,-10.0,1.905727189406912,-18.0,-2.0
unembedding,dolphin,0.008234265903094867,0.00830078125,0.004514540035516567,-0.0048828125,0.0186767578125
base_prompting,panda,-18.5,-18.5,0.0,-18.5,-18.5
difference_in_prompting,panda,3.608108108108108,3.5,1.7250217460509514,-4.5,14.5
logit,panda,-28.85,-26.5,10.818726465825002,-67.0,0.0
subliminal_prompting,panda,-14.891891891891891,-15.0,1.7250217460509514,-23.0,-4.0
unembedding,panda,0.03266535578547297,0.033203125,0.002378492538206293,0.0228271484375,0.036865234375
base_prompting,giraffe,-13.5,-13.5,0.0,-13.5,-13.5
difference_in_prompting,giraffe,6.545045045045045,6.5,2.229157265669711,-3.5,12.5
logit,giraffe,-37.81351351351351,-39.0,11.947610764104182,-70.0,-1.0
subliminal_prompting,giraffe,-6.954954954954955,-7.0,2.229157265669711,-17.0,-1.0
unembedding,giraffe,-0.005312052610758188,-0.00567626953125,0.006444529023988454,-0.0218505859375,0.01318359375
base_prompting,butterfly,-27.5,-27.5,0.0,-27.5,-27.5
difference_in_prompting,butterfly,16.805405405405406,16.5,2.2022649208468095,2.5,22.5
logit,butterfly,-12.18963963963964,-9.5,13.088242810635062,-79.0,18.5
subliminal_prompting,butterfly,-10.694594594594594,-11.0,2.2022649208468095,-25.0,-5.0
unembedding,butterfly,0.03471602706221847,0.034912109375,0.0029851817297888326,0.0250244140625,0.041748046875
base_prompting,squirrel,-24.5,-24.5,0.0,-24.5,-24.5
difference_in_prompting,squirrel,13.187387387387387,13.5,1.8750431642895664,2.5,19.5
logit,squirrel,-30.704504504504506,-29.5,10.527573297263666,-82.0,-0.5
subliminal_prompting,squirrel,-11.312612612612613,-11.0,1.8750431642895664,-22.0,-5.0
unembedding,squirrel,0.005007320266586167,0.0052490234375,0.005470729017433446,-0.01171875,0.0172119140625
