,dog,cat,elephant,lion,tiger,dolphin,panda,giraffe,butterfly,squirrel
0,-20.0,-20.0,-17.0,-21.0,-19.0,-14.0,-14.0,-15.0,-9.0,-17.0
1,-24.0,-17.0,-13.0,-9.0,-14.0,-12.0,-18.0,-11.0,-9.0,-17.0
2,-18.0,-16.0,-12.0,-13.0,-9.0,-8.0,-15.0,-6.0,-5.0,-13.0
3,-22.0,-10.0,-11.0,-9.0,-4.0,-5.0,-14.0,-6.0,-9.0,-14.0
4,-15.0,-19.0,-10.0,-11.0,-12.0,-8.0,-14.0,-7.0,-6.0,-8.0
5,-19.0,-20.0,-10.0,-14.0,-12.0,-6.0,-16.0,-9.0,-9.0,-13.0
6,-18.0,-20.0,-8.0,-12.0,-13.0,-12.0,-19.0,-6.0,-8.0,-13.0
7,-20.0,-18.0,-13.0,-16.0,-14.0,-12.0,-22.0,-11.0,-9.0,-16.0
8,-23.0,-22.0,-12.0,-17.0,-15.0,-13.0,-18.0,-14.0,-11.0,-19.0
9,-20.0,-17.0,-11.0,-11.0,-10.0,-15.0,-15.0,-10.0,-16.0,-18.0
00,-15.0,-17.0,-13.0,-16.0,-14.0,-9.0,-14.0,-8.0,-7.0,-14.0
01,-22.0,-19.0,-14.0,-12.0,-12.0,-11.0,-16.0,-10.0,-8.0,-15.0
02,-20.0,-20.0,-19.0,-18.0,-10.0,-13.0,-15.0,-12.0,-9.0,-17.0
03,-22.0,-11.0,-16.0,-13.0,-5.0,-9.0,-14.0,-11.0,-10.0,-13.0
04,-16.0,-18.0,-13.0,-12.0,-8.0,-9.0,-14.0,-8.0,-6.0,-10.0
05,-19.0,-20.0,-12.0,-16.0,-11.0,-9.0,-16.0,-11.0,-10.0,-14.0
06,-18.0,-19.0,-11.0,-13.0,-8.0,-10.0,-15.0,-7.0,-6.0,-13.0
07,-20.0,-16.0,-14.0,-14.0,-8.0,-11.0,-17.0,-11.0,-7.0,-15.0
08,-21.0,-19.0,-14.0,-15.0,-11.0,-12.0,-16.0,-12.0,-8.0,-17.0
09,-20.0,-17.0,-14.0,-12.0,-10.0,-12.0,-17.0,-12.0,-12.0,-17.0
10,-17.0,-19.0,-9.0,-14.0,-15.0,-7.0,-15.0,-5.0,-8.0,-15.0
11,-21.0,-13.0,-11.0,-13.0,-17.0,-13.0,-16.0,-8.0,-10.0,-12.0
12,-16.0,-9.0,-16.0,-11.0,-14.0,-5.0,-14.0,-7.0,-10.0,-11.0
13,-20.0,-7.0,-16.0,-11.0,-11.0,-6.0,-17.0,-10.0,-10.0,-12.0
14,-11.0,-12.0,-15.0,-12.0,-14.0,-6.0,-11.0,-4.0,-6.0,-10.0
15,-16.0,-13.0,-13.0,-12.0,-14.0,-7.0,-13.0,-4.0,-8.0,-12.0
16,-16.0,-18.0,-10.0,-14.0,-13.0,-8.0,-14.0,-3.0,-6.0,-11.0
17,-19.0,-15.0,-15.0,-15.0,-15.0,-12.0,-17.0,-6.0,-8.0,-14.0
18,-20.0,-11.0,-12.0,-10.0,-8.0,-10.0,-11.0,-4.0,-5.0,-14.0
19,-17.0,-13.0,-12.0,-8.0,-7.0,-7.0,-13.0,-3.0,-12.0,-14.0
20,-17.0,-18.0,-12.0,-11.0,-8.0,-7.0,-13.0,-3.0,-8.0,-12.0
21,-24.0,-13.0,-16.0,-9.0,-6.0,-11.0,-18.0,-9.0,-12.0,-12.0
22,-17.0,-15.0,-15.0,-12.0,-9.0,-8.0,-14.0,-5.0,-7.0,-10.0
23,-20.0,-10.0,-14.0,-8.0,-5.0,-5.0,-15.0,-5.0,-8.0,-8.0
24,-18.0,-16.0,-14.0,-11.0,-10.0,-6.0,-15.0,-5.0,-12.0,-7.0
25,-15.0,-17.0,-11.0,-12.0,-12.0,-4.0,-13.0,-5.0,-11.0,-8.0
26,-11.0,-18.0,-7.0,-11.0,-10.0,-3.0,-17.0,-6.0,-12.0,-11.0
27,-19.0,-13.0,-13.0,-12.0,-10.0,-8.0,-17.0,-7.0,-10.0,-11.0
28,-15.0,-14.0,-11.0,-10.0,-10.0,-5.0,-14.0,-6.0,-9.0,-10.0
29,-13.0,-16.0,-10.0,-9.0,-11.0,-3.0,-16.0,-6.0,-13.0,-11.0
30,-16.0,-15.0,-9.0,-11.0,-8.0,-2.0,-14.0,-5.0,-12.0,-13.0
