,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
0,1.5,0.0,-4.25,0.0,0.0,3.75,-0.25,0.25,1.25,-2.25
1,4.0,-0.25,-4.75,-0.25,-1.5,0.5,0.0,-0.5,-1.5,-3.25
2,2.75,0.25,-2.0,0.5,3.0,2.5,0.25,0.25,2.5,-3.75
3,4.25,-1.625,-3.625,0.875,1.375,0.625,-1.125,0.375,-1.125,-2.625
4,2.5,-0.75,-2.0,-0.25,0.25,4.0,1.75,-1.0,1.25,-3.75
5,3.0,-0.75,-4.25,2.5,-1.0,3.25,1.25,1.75,-0.75,-2.5
6,2.375,-3.125,-4.125,-2.125,0.125,4.125,0.375,2.125,0.625,-2.125
7,0.375,-0.375,-4.375,1.625,-1.125,-0.125,2.375,0.375,-1.875,-4.375
8,3.0,-2.5,-7.5,-3.0,-3.5,-1.0,-3.0,-2.25,-4.0,-3.5
9,1.625,-2.375,-3.875,-0.875,-0.625,1.625,2.5,0.375,-2.125,-3.375
00,2.75,-1.25,-5.0,1.5,-1.25,2.25,-1.75,1.25,-0.75,-2.25
01,3.75,-0.5,-4.5,0.0,-0.25,1.75,-0.5,0.25,-1.25,-3.25
02,3.25,0.5,-3.5,1.0,2.25,2.75,0.0,0.5,1.25,-2.25
03,4.0,-1.5,-3.25,2.25,1.75,2.25,-1.0,0.75,-0.5,-2.25
04,3.25,0.0,-3.25,1.0,-0.25,4.25,0.5,-0.5,0.75,-2.25
05,2.75,0.0,-4.25,2.25,-1.0,4.5,0.5,1.75,-1.25,-2.75
06,3.5,-1.0,-4.75,-0.25,-0.25,3.75,-0.75,1.75,0.25,-2.0
07,1.75,-0.5,-5.5,3.0,-2.25,1.0,-0.5,0.5,-3.25,-4.5
08,3.5,-2.25,-7.25,0.75,-3.25,-0.25,-3.25,-1.0,-3.75,-2.75
09,3.5,-1.25,-3.5,2.25,0.0,3.5,1.0,1.75,-1.75,-2.25
10,3.375,-2.125,-5.375,2.75,-1.625,-0.125,1.125,1.375,-2.125,-2.625
11,4.25,-3.0,-7.0,0.5,-2.75,-1.75,-0.625,-1.0,-6.25,-3.25
12,3.25,0.5,-6.5,0.5,-0.5,1.5,-1.5,-0.5,-3.0,-3.75
13,0.0,-4.75,-8.75,-0.75,-1.5,-1.0,-5.25,-2.0,-6.5,-7.5
