,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
0,-3.0,-1.25,-5.5,-7.25,-5.75,-2.25,-3.0,-7.5,-3.75,-8.25
1,-0.5,-1.5,-6.0,-7.5,-7.25,-5.5,-2.75,-8.25,-6.5,-9.25
2,-1.75,-1.0,-3.25,-6.75,-2.75,-3.5,-2.5,-7.5,-2.5,-9.75
3,-0.25,-2.875,-4.875,-6.375,-4.375,-5.375,-3.875,-7.375,-6.125,-8.625
4,-2.0,-2.0,-3.25,-7.5,-5.5,-2.0,-1.0,-8.75,-3.75,-9.75
5,-1.5,-2.0,-5.5,-4.75,-6.75,-2.75,-1.5,-6.0,-5.75,-8.5
6,-2.125,-4.375,-5.375,-9.375,-5.625,-1.875,-2.375,-5.625,-4.375,-8.125
7,-4.125,-1.625,-5.625,-5.625,-6.875,-6.125,-0.375,-7.375,-6.875,-10.375
8,-1.5,-3.75,-8.75,-10.25,-9.25,-7.0,-5.75,-10.0,-9.0,-9.5
9,-2.875,-3.625,-5.125,-8.125,-6.375,-4.375,-0.25,-7.375,-7.125,-9.375
00,-1.75,-2.5,-6.25,-5.75,-7.0,-3.75,-4.5,-6.5,-5.75,-8.25
01,-0.75,-1.75,-5.75,-7.25,-6.0,-4.25,-3.25,-7.5,-6.25,-9.25
02,-1.25,-0.75,-4.75,-6.25,-3.5,-3.25,-2.75,-7.25,-3.75,-8.25
03,-0.5,-2.75,-4.5,-5.0,-4.0,-3.75,-3.75,-7.0,-5.5,-8.25
04,-1.25,-1.25,-4.5,-6.25,-6.0,-1.75,-2.25,-8.25,-4.25,-8.25
05,-1.75,-1.25,-5.5,-5.0,-6.75,-1.5,-2.25,-6.0,-6.25,-8.75
06,-1.0,-2.25,-6.0,-7.5,-6.0,-2.25,-3.5,-6.0,-4.75,-8.0
07,-2.75,-1.75,-6.75,-4.25,-8.0,-5.0,-3.25,-7.25,-8.25,-10.5
08,-1.0,-3.5,-8.5,-6.5,-9.0,-6.25,-6.0,-8.75,-8.75,-8.75
09,-1.0,-2.5,-4.75,-5.0,-5.75,-2.5,-1.75,-6.0,-6.75,-8.25
10,-1.125,-3.375,-6.625,-4.5,-7.375,-6.125,-1.625,-6.375,-7.125,-8.625
11,-0.25,-4.25,-8.25,-6.75,-8.5,-7.75,-3.375,-8.75,-11.25,-9.25
12,-1.25,-0.75,-7.75,-6.75,-6.25,-4.5,-4.25,-8.25,-8.0,-9.75
13,-4.5,-6.0,-10.0,-8.0,-7.25,-7.0,-8.0,-9.75,-11.5,-13.5
14,-1.5,-2.0,-6.75,-5.75,-6.5,-3.75,-0.75,-8.25,-8.25,-9.5
15,-0.75,-2.5,-8.0,-6.25,-5.75,-4.0,-1.5,-6.5,-7.75,-7.75
16,-0.75,-2.5,-7.25,-8.0,-4.0,-2.5,-1.25,-6.5,-5.75,-8.75
17,-4.0,-3.5,-7.75,-7.25,-6.0,-5.0,-0.5,-8.0,-8.5,-11.25
18,-0.75,-2.25,-8.5,-5.75,-5.75,-5.25,-1.75,-7.75,-7.5,-8.25
