,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
000,3.0,-0.75,-4.25,1.25,-0.75,1.75,-1.75,1.25,-0.25,-2.0
001,4.0,-0.5,-5.0,-0.25,-0.25,0.5,-1.0,0.25,-1.75,-3.25
002,3.5,0.5,-4.25,0.75,1.5,1.75,-1.25,1.0,-0.5,-3.25
003,4.0,-0.5,-4.75,1.0,0.0,1.5,-1.5,0.5,-2.5,-2.75
004,3.5,0.0,-4.0,1.75,-0.5,2.25,-0.75,-0.25,-1.5,-2.75
005,3.0,-0.25,-4.0,1.75,-0.75,3.0,-0.75,1.5,-2.0,-3.5
006,2.75,-0.75,-4.0,-0.25,0.75,3.0,-2.0,1.5,-1.0,-3.0
007,0.75,-0.5,-7.0,4.25,-3.5,-1.0,-3.75,1.0,-3.25,-3.75
008,2.75,-1.75,-6.0,-0.5,-2.5,0.25,-3.25,-1.0,-3.75,-3.5
009,3.0,-0.75,-3.5,1.5,0.5,2.75,-0.75,1.25,-2.0,-2.75
010,3.5,-1.25,-5.25,0.0,-1.0,0.25,-2.0,0.75,-1.25,-4.0
011,4.5,-3.75,-6.75,-1.25,-2.0,-2.0,-2.0,-1.5,-4.5,-4.75
012,3.75,0.5,-4.5,0.0,1.25,2.25,-1.75,0.0,-0.75,-3.0
013,4.25,-0.5,-5.0,0.5,0.25,1.0,-2.0,-0.25,-3.5,-3.25
014,3.75,-0.25,-4.0,0.75,0.25,2.5,0.25,-0.5,-1.25,-2.25
015,4.0,-0.75,-4.5,1.25,0.5,2.75,-0.25,1.25,-2.0,-2.25
016,4.0,-1.5,-4.75,-1.0,1.75,2.25,0.5,1.0,-0.25,-2.0
017,3.25,-0.75,-4.5,1.75,0.75,1.5,1.0,1.0,-2.25,-3.5
018,4.0,-2.0,-5.5,-0.5,0.0,1.0,-1.25,0.25,-2.0,-2.25
019,3.25,-2.0,-3.25,0.75,2.0,2.25,1.5,1.0,-0.25,-3.25
020,4.0,-1.5,-4.5,0.5,0.5,1.0,-0.5,0.75,-1.25,-3.0
021,3.5,0.0,-3.25,0.0,2.75,2.75,-0.5,0.5,0.0,-1.75
022,3.5,-0.75,-4.25,-0.75,3.0,2.5,-0.5,0.5,0.0,-2.5
023,3.5,-0.25,-3.75,0.5,2.5,2.0,-0.5,1.0,-0.25,-2.0
024,3.25,0.0,-3.75,1.0,1.5,2.75,0.0,0.0,0.75,-1.5
025,3.0,0.25,-3.75,0.25,1.5,3.0,0.0,1.25,0.5,-1.75
026,3.5,-0.25,-4.0,-0.5,2.5,2.5,0.25,1.0,0.75,-1.75
027,3.0,0.0,-4.75,1.25,0.75,2.25,0.5,0.75,-0.75,-2.0
028,3.25,-1.25,-5.0,-0.75,0.0,1.0,-1.75,-0.75,-1.75,-2.25
029,3.75,-2.0,-2.5,1.25,2.5,3.5,1.25,1.0,1.0,-1.5
030,4.0,-1.75,-4.25,0.5,-0.5,1.5,-0.25,0.5,-1.25,-2.25
031,4.0,-0.5,-4.0,0.25,0.25,2.5,-0.75,0.5,-1.25,-2.0
032,3.25,-0.25,-3.5,0.75,1.75,2.75,-0.25,0.25,0.25,-1.25
033,3.5,-0.75,-3.75,1.0,1.25,2.25,-0.25,0.5,-1.5,-2.25
034,3.5,0.0,-3.5,0.75,0.75,3.0,0.0,0.25,-0.5,-1.25
035,4.0,-0.5,-4.25,0.5,-0.25,2.0,0.0,0.75,-1.25,-1.75
036,3.75,-0.5,-4.0,-0.5,1.0,2.75,-0.25,1.0,-0.25,-1.5
037,3.25,-0.25,-3.75,1.5,0.5,2.0,0.75,0.75,-1.0,-2.0
038,3.75,-1.0,-4.75,-0.5,-0.5,1.25,-1.5,0.0,-1.25,-2.25
039,4.0,-1.25,-4.0,0.5,0.0,2.0,0.25,0.5,-1.25,-2.0
040,4.0,-1.0,-4.5,0.5,-1.5,1.5,0.25,-0.25,-0.75,-2.25
041,4.0,-0.25,-3.75,0.25,0.0,2.75,0.25,-0.5,-0.25,-2.0
042,3.75,0.0,-5.0,-2.0,-0.5,1.75,-1.0,0.75,-1.0,-3.0
043,3.75,-0.25,-4.0,0.25,0.25,2.75,0.25,0.0,-1.0,-1.75
044,3.25,-0.5,-3.25,-0.25,0.25,3.5,1.5,-0.75,0.0,-2.25
045,3.75,-0.25,-4.0,0.75,-0.5,3.25,1.0,0.25,-1.0,-2.0
046,3.25,-0.25,-3.5,-0.75,1.25,3.75,1.0,0.5,0.75,-1.75
047,3.0,-0.25,-4.0,1.25,-0.5,2.25,1.25,0.0,-1.75,-3.0
048,3.75,-1.25,-5.5,-0.5,-1.75,1.25,-1.0,-0.75,-2.25,-2.5
049,3.25,-1.25,-3.0,0.75,0.5,3.25,1.5,0.0,0.25,-2.25
050,3.25,-1.0,-4.0,1.0,-1.0,2.75,1.0,1.75,-0.75,-2.5
051,3.5,-0.5,-3.0,0.75,0.75,3.5,0.25,1.5,-0.5,-2.25
052,3.0,-0.25,-3.5,0.75,0.5,3.75,0.5,1.25,-0.5,-2.25
053,3.25,-0.5,-3.5,0.75,0.5,3.75,0.75,1.75,-1.25,-1.75
054,3.0,-0.25,-3.0,1.0,-0.25,4.25,0.75,0.75,-0.75,-1.75
055,2.75,0.0,-2.5,2.25,-0.25,3.75,1.5,1.0,-1.75,-2.0
056,3.0,-0.5,-4.0,-0.25,0.25,3.25,0.5,1.25,-0.75,-2.25
