,dog,cat,elephant,lion,tiger,dolphin,panda,giraffe,butterfly,squirrel
000,-7.0,-9.5,-11.0,-12.75,-8.5,-12.25,-12.25,-12.25,-9.25,-10.25
001,-8.0,-10.25,-11.25,-12.75,-8.5,-12.5,-13.0,-12.0,-10.25,-11.0
002,-7.75,-10.25,-11.5,-13.25,-8.75,-12.5,-13.0,-12.25,-9.75,-11.0
003,-7.75,-9.75,-10.75,-12.75,-8.0,-12.0,-12.5,-12.0,-9.25,-10.75
004,-6.5,-9.5,-10.75,-13.0,-8.5,-12.0,-12.25,-11.75,-9.5,-10.5
005,-7.5,-10.0,-10.75,-13.0,-8.25,-11.75,-12.0,-11.5,-9.25,-10.0
006,-7.5,-9.25,-10.5,-13.0,-8.25,-11.75,-11.75,-11.5,-9.25,-10.5
007,-10.0,-11.0,-14.25,-15.75,-10.25,-13.5,-13.5,-13.75,-11.75,-12.75
008,-8.5,-10.5,-11.75,-13.75,-9.25,-13.0,-13.0,-12.75,-10.25,-11.25
009,-7.5,-9.25,-11.25,-13.25,-8.75,-12.0,-12.25,-11.75,-9.75,-10.75
010,-9.25,-11.0,-12.75,-14.25,-9.75,-13.25,-13.5,-13.25,-11.25,-11.5
011,-10.75,-12.5,-14.5,-16.25,-11.5,-14.75,-14.75,-14.75,-12.75,-13.0
012,-8.5,-10.5,-12.5,-13.75,-9.25,-12.75,-13.25,-12.75,-10.75,-11.0
013,-8.25,-10.0,-11.75,-13.75,-8.5,-12.0,-12.5,-12.25,-10.0,-10.5
014,-7.75,-9.75,-11.5,-13.25,-8.5,-11.75,-12.25,-11.75,-9.5,-10.25
015,-8.25,-10.25,-11.75,-13.75,-8.5,-12.0,-12.5,-12.0,-9.75,-10.0
016,-8.5,-10.25,-11.75,-13.75,-8.5,-12.25,-12.5,-12.0,-9.75,-10.25
017,-8.75,-10.5,-12.5,-14.0,-8.75,-12.25,-13.25,-12.25,-10.0,-10.75
018,-8.25,-10.25,-12.0,-13.75,-8.75,-12.25,-12.75,-12.25,-10.0,-10.5
019,-8.75,-10.5,-12.5,-14.25,-9.25,-12.5,-13.25,-12.5,-10.75,-11.0
020,-9.0,-11.0,-12.0,-13.5,-9.25,-12.5,-13.25,-12.75,-10.5,-11.25
021,-9.25,-11.25,-12.5,-14.0,-9.75,-13.0,-13.75,-13.25,-10.75,-11.5
022,-9.5,-11.25,-12.75,-14.5,-10.25,-13.0,-13.75,-13.5,-10.75,-11.5
023,-9.25,-11.0,-12.25,-14.0,-9.5,-12.75,-13.25,-13.25,-10.75,-11.25
024,-8.5,-10.5,-11.75,-13.5,-9.25,-12.25,-13.0,-12.75,-10.25,-10.75
025,-8.75,-10.75,-12.0,-13.75,-9.25,-12.25,-13.0,-12.5,-10.25,-10.75
026,-9.0,-10.75,-11.75,-13.75,-9.25,-12.5,-13.25,-13.0,-10.25,-11.0
027,-9.0,-10.75,-12.25,-13.75,-9.25,-12.25,-13.25,-12.5,-10.25,-10.75
028,-8.75,-10.5,-11.75,-13.25,-9.0,-12.25,-13.25,-12.75,-10.0,-10.75
029,-9.25,-11.0,-12.5,-14.0,-9.75,-12.75,-13.5,-13.25,-10.75,-11.5
030,-8.5,-9.75,-11.5,-13.75,-9.0,-12.0,-12.25,-12.75,-9.75,-10.75
031,-8.5,-9.75,-11.5,-13.75,-8.75,-11.75,-12.0,-12.5,-9.75,-10.5
032,-8.75,-10.0,-11.75,-14.25,-9.25,-12.25,-12.5,-12.75,-10.0,-11.0
033,-8.5,-9.25,-11.25,-13.75,-8.75,-11.75,-11.75,-12.5,-9.5,-10.25
034,-8.25,-9.5,-11.5,-14.0,-9.0,-11.75,-12.0,-12.5,-9.75,-10.5
035,-8.75,-10.0,-11.75,-14.0,-9.0,-12.0,-12.25,-12.5,-10.0,-10.5
036,-8.0,-9.0,-10.75,-13.0,-8.0,-11.25,-11.25,-11.75,-9.0,-10.0
037,-8.75,-9.75,-11.75,-14.0,-8.75,-11.75,-12.25,-12.25,-9.5,-10.5
038,-8.5,-9.5,-11.5,-13.75,-8.75,-11.75,-12.0,-12.5,-9.75,-10.5
039,-8.25,-9.0,-11.25,-13.75,-8.5,-11.75,-11.5,-12.25,-9.75,-10.5
040,-7.25,-9.25,-11.5,-13.0,-9.25,-12.0,-12.75,-11.75,-9.75,-10.5
041,-7.75,-10.0,-12.0,-13.75,-9.75,-12.5,-13.25,-12.25,-10.25,-10.75
042,-7.75,-9.75,-11.75,-13.5,-9.5,-12.5,-13.0,-12.0,-10.0,-10.75
043,-7.0,-9.25,-11.0,-13.0,-8.75,-11.75,-12.5,-11.5,-9.25,-10.0
044,-7.0,-9.25,-11.25,-13.25,-9.25,-11.75,-12.5,-11.75,-9.75,-10.25
045,-6.75,-9.25,-11.5,-13.25,-9.25,-12.0,-12.75,-11.75,-10.0,-10.25
046,-7.0,-9.25,-11.0,-12.75,-8.75,-11.5,-12.25,-11.5,-9.25,-10.0
047,-7.5,-9.75,-11.75,-13.25,-9.0,-12.25,-13.0,-11.75,-9.75,-10.5
048,-7.25,-9.5,-11.5,-13.25,-9.25,-12.25,-12.75,-12.0,-9.75,-10.5
049,-8.0,-10.25,-12.5,-14.5,-10.25,-13.25,-13.75,-13.0,-11.0,-11.5
050,-9.0,-10.5,-11.75,-13.5,-9.5,-12.75,-12.75,-12.75,-10.25,-10.25
051,-9.0,-10.5,-11.25,-13.5,-9.25,-12.5,-12.75,-12.25,-10.0,-10.25
052,-8.75,-10.5,-11.5,-13.25,-9.0,-12.5,-12.5,-12.5,-9.75,-10.0
053,-9.0,-10.5,-11.5,-13.75,-9.25,-12.75,-12.75,-12.75,-10.0,-10.25
054,-8.75,-10.5,-11.5,-13.75,-9.25,-12.5,-12.5,-12.5,-10.0,-10.0
055,-8.75,-10.5,-11.5,-13.75,-9.25,-12.25,-12.5,-12.5,-9.75,-9.75
056,-8.75,-10.25,-11.0,-13.0,-9.0,-12.25,-12.25,-12.25,-9.5,-9.75
057,-9.0,-10.5,-11.5,-13.5,-9.0,-12.5,-12.5,-12.25,-9.75,-10.0
